"Supplier Payments, where a specific charge is £250 or greater.",,,,,,,,,,,
Period 1-Dec-14 to 31-Dec-14,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Authority,,Vendor Name,Invoice,Payment ,Service Responsible for Spend,Service,Cost,Subjective,Subjective,Amount Exc,Type
Northumberland County Council,http://statistics.data.gov.uk/doc/local-authority/35,ACTIVE NORTHUMBERLAND,233003,17-Dec-14,Public Health,  BVAL,35101,144034  ,Commissioned Services,"6,038.00",Expense
Northumberland County Council,http://statistics.data.gov.uk/doc/local-authority/35,ADAPT,207295,11-Dec-14,Highways and Transport Services,  Supported Bus Services,204160,165000  ,Grants to Voluntary Bodies,880,Expense
Northumberland County Council,http://statistics.data.gov.uk/doc/local-authority/35,ADAPT,207292,04-Dec-14,Children's and Education Services,  Home to School Transport,204120,136000  ,Pupils - Travel,"2,386.00",Expense
Northumberland County Council,http://statistics.data.gov.uk/doc/local-authority/35,ADAPT,207315,12-Dec-14,Highways and Transport Services,  Supported Bus Services,204160,136002  ,Support - rural bus routes,281.2,Expense
Northumberland County Council,http://statistics.data.gov.uk/doc/local-authority/35,ADAPT,207297,04-Dec-14,Children's and Education Services,  Home to School Transport,204120,136000  ,Pupils - Travel,"2,686.00",Expense
Northumberland County Council,http://statistics.data.gov.uk/doc/local-authority/35,ADAPT,207316,12-Dec-14,Highways and Transport Services,  Supported Bus Services,204160,136002  ,Support - rural bus routes,"3,180.00",Expense
Northumberland County Council,http://statistics.data.gov.uk/doc/local-authority/35,ADAPT,207306,11-Dec-14,Highways and Transport Services,  Supported Bus Services,204160,165000  ,Grants to Voluntary Bodies,400,Expense
Northumberland County Council,http://statistics.data.gov.uk/doc/local-authority/35,ADAPT,207273,04-Dec-14,Highways and Transport Services,  SEN Transport,204190,136000  ,Pupils - Travel,"2,463.16",Expense
Northumberland County Council,http://statistics.data.gov.uk/doc/local-authority/35,ADAPT,207278,04-Dec-14,Highways and Transport Services,  SEN Transport,204190,136000  ,Pupils - Travel,"2,275.44",Expense
Northumberland County Council,http://statistics.data.gov.uk/doc/local-authority/35,ADAPT,207280,04-Dec-14,Highways and Transport Services,  SEN Transport,204190,136000  ,Pupils - Travel,"2,080.50",Expense
Northumberland County Council,http://statistics.data.gov.uk/doc/local-authority/35,ADAPT,217066,11-Dec-14,Adult Social Care,  CHC Packages,306420,167002  ,Other Independent Care,"1,215.00",Expense
Northumberland County Council,http://statistics.data.gov.uk/doc/local-authority/35,ADAPT,217068,11-Dec-14,Adult Social Care,  Block Contracts,303001,167012  ,Block Contracts,420,Expense
Northumberland County Council,http://statistics.data.gov.uk/doc/local-authority/35,ADAPT,207287,04-Dec-14,Highways and Transport Services,  SEN Transport,204190,136000  ,Pupils - Travel,"2,500.00",Expense
Northumberland County Council,http://statistics.data.gov.uk/doc/local-authority/35,ADAPT,207302,12-Dec-14,Highways and Transport Services,  Supported Bus Services,204160,136002  ,Support - rural bus routes,281.2,Expense
Northumberland County Council,http://statistics.data.gov.uk/doc/local-authority/35,ADAPT,207311,11-Dec-14,Highways and Transport Services,  Supported Bus Services,204160,165000  ,Grants to Voluntary Bodies,390,Expense
Northumberland County Council,http://statistics.data.gov.uk/doc/local-authority/35,ADAPT,207321,12-Dec-14,Highways and Transport Services,  Supported Bus Services,204160,136002  ,Support - rural bus routes,281.2,Expense
Northumberland County Council,http://statistics.data.gov.uk/doc/local-authority/35,ADAPT,207264,04-Dec-14,Highways and Transport Services,  Concessionary Travel,204140,136001  ,Concessions to Bus Operators,270,Expense
Northumberland County Council,http://statistics.data.gov.uk/doc/local-authority/35,ADAPT,227910,17-Dec-14,Adult Social Care,  Block Contracts,303001,167012  ,Block Contracts,"1,575.00",Expense
Northumberland County Council,http://statistics.data.gov.uk/doc/local-authority/35,ADAPT,248537,29-Dec-14,Adult Social Care,  Block Contracts,303001,167012  ,Block Contracts,"13,333.33",Expense
Northumberland County Council,http://statistics.data.gov.uk/doc/local-authority/35,ADAPT,248533,29-Dec-14,Adult Social Care,  Block Contracts,303001,167012  ,Block Contracts,"13,333.33",Expense
Northumberland County Council,http://statistics.data.gov.uk/doc/local-authority/35,ADARE INSPIRED COMMUNICATIONS,213676,09-Dec-14,Central Services,  Electoral Registration,118001,146010  ,Election Expenses,656.2,Expense
Northumberland County Council,http://statistics.data.gov.uk/doc/local-authority/35,ADARE INSPIRED COMMUNICATIONS,213674,09-Dec-14,Central Services,  Electoral Registration,118001,146010  ,Election Expenses,"1,423.39",Expense
Northumberland County Council,http://statistics.data.gov.uk/doc/local-authority/35,ADARE INSPIRED COMMUNICATIONS,243705,23-Dec-14,Central Services,  Electoral Registration,118001,146010  ,Election Expenses,699.15,Expense
Northumberland County Council,http://statistics.data.gov.uk/doc/local-authority/35,ADMEC,188027,09-Dec-14,Highways and Transport Services,  Maintenance - North,200200,132001  ,Plant Hire,790.7,Expense
Northumberland County Council,http://statistics.data.gov.uk/doc/local-authority/35,ADMEC,188030,09-Dec-14,Highways and Transport Services,  Maintenance - North,200200,132001  ,Plant Hire,436.5,Expense
Northumberland County Council,http://statistics.data.gov.uk/doc/local-authority/35,ADT FIRE AND SECURITY,209112,05-Dec-14,Cultural and Related Services,"  Fenkle Street, Alnwick",294902,110000  ,Building Maintenance - Structural - Planned,384.65,Expense
Northumberland County Council,http://statistics.data.gov.uk/doc/local-authority/35,ADT NORTHUMBERLAND,204173,04-Dec-14,N/A,  Amble Seafood Town,990396,500098  ,Partnership Development Projects,"8,625.00",Expense
Northumberland County Council,http://statistics.data.gov.uk/doc/local-authority/35,ADVANCED TAXIS,203847,03-Dec-14,Children's and Education Services,  Home to School Transport,204120,136000  ,Pupils - Travel,"1,430.40",Expense
Northumberland County Council,http://statistics.data.gov.uk/doc/local-authority/35,ADVANCED TAXIS,203848,03-Dec-14,Children's and Education Services,  Home to School Transport,204120,136000  ,Pupils - Travel,"2,835.60",Expense
Northumberland County Council,http://statistics.data.gov.uk/doc/local-authority/35,ADVANCED TAXIS,203850,03-Dec-14,Children's and Education Services,  Home to School Transport,204120,136000  ,Pupils - Travel,"1,676.20",Expense
Northumberland County Council,http://statistics.data.gov.uk/doc/local-authority/35,ADVANCED TAXIS,203852,03-Dec-14,Children's and Education Services,  Home to School Transport,204120,136000  ,Pupils - Travel,800,Expense
Northumberland County Council,http://statistics.data.gov.uk/doc/local-authority/35,ADVANCED TAXIS,203855,03-Dec-14,Children's and Education Services,  Home to School Transport,204120,136000  ,Pupils - Travel,931,Expense
Northumberland County Council,http://statistics.data.gov.uk/doc/local-authority/35,ADVANCED TAXIS,203859,03-Dec-14,Children's and Education Services,  Home to School Transport,204120,136000  ,Pupils - Travel,"1,180.00",Expense
Northumberland County Council,http://statistics.data.gov.uk/doc/local-authority/35,ADVANCED TAXIS,203862,03-Dec-14,Children's and Education Services,  Home to School Transport,204120,136000  ,Pupils - Travel,"2,667.40",Expense
Northumberland County Council,http://statistics.data.gov.uk/doc/local-authority/35,ADVANCED TAXIS,203865,03-Dec-14,Children's and Education Services,  Home to School Transport,204120,136000  ,Pupils - Travel,"1,440.40",Expense
Northumberland County Council,http://statistics.data.gov.uk/doc/local-authority/35,AECOM LTD,204214,22-Dec-14,Fixed Asset Account,  Fixed Asset Account,990120,500171  ,CIP - Infrastructure,862.5,Revenue
Northumberland County Council,http://statistics.data.gov.uk/doc/local-authority/35,AFFORDABLE ARCHITECTURE,235321,19-Dec-14,Fixed Asset Account,  Fixed Asset Account,990120,500133  ,CIP - land and Buildings,"4,755.00",Revenue
Northumberland County Council,http://statistics.data.gov.uk/doc/local-authority/35,AGE UK NORTHUMBERLAND,233010,18-Dec-14,Adult Social Care,  LD North - LN1A1,306152,167009  ,Day Care,82,Expense
Northumberland County Council,http://statistics.data.gov.uk/doc/local-authority/35,AGE UK NORTHUMBERLAND,233010,18-Dec-14,Adult Social Care,  Older PDI Central - PCLB1 - Two,306401,167009  ,Day Care,"1,045.50",Expense
Northumberland County Council,http://statistics.data.gov.uk/doc/local-authority/35,AGE UK NORTHUMBERLAND,233010,18-Dec-14,Adult Social Care,  Older MH Central - PCMM1- Two,306404,167009  ,Day Care,246,Expense
Northumberland County Council,http://statistics.data.gov.uk/doc/local-authority/35,AGE UK NORTHUMBERLAND,233010,18-Dec-14,Adult Social Care,  Older Pdi North - PNLTA,306405,167009  ,Day Care,"1,086.50",Expense
Northumberland County Council,http://statistics.data.gov.uk/doc/local-authority/35,AGE UK NORTHUMBERLAND,233010,18-Dec-14,Adult Social Care,  Older MH North - PNMB1 - Two,306408,167009  ,Day Care,225.5,Expense
Northumberland County Council,http://statistics.data.gov.uk/doc/local-authority/35,AGE UK NORTHUMBERLAND,233010,18-Dec-14,Adult Social Care,  Older PDI South - PSLTB - One,306409,167009  ,Day Care,164,Expense
Northumberland County Council,http://statistics.data.gov.uk/doc/local-authority/35,AGE UK NORTHUMBERLAND,233010,18-Dec-14,Adult Social Care,  Older PDI South - PSLTC - Two,306410,167009  ,Day Care,410,Expense
Northumberland County Council,http://statistics.data.gov.uk/doc/local-authority/35,AGE UK NORTHUMBERLAND,233010,18-Dec-14,Adult Social Care,  Older MH South - PSMB1,306411,167009  ,Day Care,"2,091.00",Expense
Northumberland County Council,http://statistics.data.gov.uk/doc/local-authority/35,AGE UK NORTHUMBERLAND,239014,22-Dec-14,Adult Social Care,  LD North - LN1A1,306152,167008  ,Homecare,123.75,Expense
Northumberland County Council,http://statistics.data.gov.uk/doc/local-authority/35,AGE UK NORTHUMBERLAND,239014,22-Dec-14,Adult Social Care,  Older PDI Central - PCLB1 - Two,306401,167008  ,Homecare,7.65,Expense
Northumberland County Council,http://statistics.data.gov.uk/doc/local-authority/35,AGE UK NORTHUMBERLAND,239014,22-Dec-14,Adult Social Care,  Older PDI Central - PCLA1,306402,167008  ,Homecare,7.65,Expense
Northumberland County Council,http://statistics.data.gov.uk/doc/local-authority/35,AGE UK NORTHUMBERLAND,239014,22-Dec-14,Adult Social Care,  Older Pdi North - PNLTA,306405,167008  ,Homecare,41.4,Expense
Northumberland County Council,http://statistics.data.gov.uk/doc/local-authority/35,AGE UK NORTHUMBERLAND,239014,22-Dec-14,Adult Social Care,  Older MH North - PNMB1 - Two,306408,167008  ,Homecare,120.2,Expense
Northumberland County Council,http://statistics.data.gov.uk/doc/local-authority/35,AGE UK NORTHUMBERLAND,239014,22-Dec-14,Adult Social Care,  CHC Packages,306420,167008  ,Homecare,14.33,Expense
Northumberland County Council,http://statistics.data.gov.uk/doc/local-authority/35,AGE UK NORTHUMBERLAND,235161,18-Dec-14,Adult Social Care,  Main Supporting People Grant,303301,166000  ,Other Contributions,"3,748.34",Expense
Northumberland County Council,http://statistics.data.gov.uk/doc/local-authority/35,AGE UK NORTHUMBERLAND,249115,30-Dec-14,Adult Social Care,  LD Central - LC1M1 - One,306150,167008  ,Homecare,"1,907.33",Expense
Northumberland County Council,http://statistics.data.gov.uk/doc/local-authority/35,AGE UK NORTHUMBERLAND,249115,30-Dec-14,Adult Social Care,  LD North - LN1A1,306152,167008  ,Homecare,323.74,Expense
Northumberland County Council,http://statistics.data.gov.uk/doc/local-authority/35,AGE UK NORTHUMBERLAND,249115,30-Dec-14,Adult Social Care,  LD South - LS1B1,306153,167008  ,Homecare,153.53,Expense
Northumberland County Council,http://statistics.data.gov.uk/doc/local-authority/35,AGE UK NORTHUMBERLAND,249115,30-Dec-14,Adult Social Care,  Older PDI Central - PCLB1 - Two,306401,167008  ,Homecare,"9,047.54",Expense
Northumberland County Council,http://statistics.data.gov.uk/doc/local-authority/35,AGE UK NORTHUMBERLAND,249115,30-Dec-14,Adult Social Care,  Older PDI Central - PCLA1,306402,167008  ,Homecare,"13,963.65",Expense
Northumberland County Council,http://statistics.data.gov.uk/doc/local-authority/35,AGE UK NORTHUMBERLAND,249115,30-Dec-14,Adult Social Care,  Older MH Central - PCMM1- Two,306404,167008  ,Homecare,"10,968.14",Expense
Northumberland County Council,http://statistics.data.gov.uk/doc/local-authority/35,AGE UK NORTHUMBERLAND,249115,30-Dec-14,Adult Social Care,  Older Pdi North - PNLTA,306405,167008  ,Homecare,"14,330.92",Expense
Northumberland County Council,http://statistics.data.gov.uk/doc/local-authority/35,AGE UK NORTHUMBERLAND,249115,30-Dec-14,Adult Social Care,  Older Pdi North - PNLTB,306406,167008  ,Homecare,396.49,Expense
Northumberland County Council,http://statistics.data.gov.uk/doc/local-authority/35,AGE UK NORTHUMBERLAND,249115,30-Dec-14,Adult Social Care,  Older MH North - PNMB1 - Two,306408,167008  ,Homecare,"3,905.27",Expense
Northumberland County Council,http://statistics.data.gov.uk/doc/local-authority/35,AGE UK NORTHUMBERLAND,249115,30-Dec-14,Adult Social Care,  Older PDI South - PSLTC - Two,306410,167008  ,Homecare,111.22,Expense
Northumberland County Council,http://statistics.data.gov.uk/doc/local-authority/35,AGE UK NORTHUMBERLAND,249115,30-Dec-14,Adult Social Care,  Older MH South - PSMB1,306411,167008  ,Homecare,100.06,Expense
Northumberland County Council,http://statistics.data.gov.uk/doc/local-authority/35,AGE UK NORTHUMBERLAND,249115,30-Dec-14,Adult Social Care,  Older PDI West - PWLTP - Two,306413,167008  ,Homecare,527.26,Expense
Northumberland County Council,http://statistics.data.gov.uk/doc/local-authority/35,AGE UK NORTHUMBERLAND,249115,30-Dec-14,Adult Social Care,  Older MH West - PWMH1,306414,167008  ,Homecare,713.57,Expense
Northumberland County Council,http://statistics.data.gov.uk/doc/local-authority/35,AGE UK NORTHUMBERLAND,249115,30-Dec-14,Adult Social Care,  CHC Packages,306420,167008  ,Homecare,"11,397.06",Expense
Northumberland County Council,http://statistics.data.gov.uk/doc/local-authority/35,AGE UK NORTHUMBERLAND,201101,03-Dec-14,Adult Social Care,  LD Central - LC1M1 - One,306150,167008  ,Homecare,"1,907.33",Expense
Northumberland County Council,http://statistics.data.gov.uk/doc/local-authority/35,AGE UK NORTHUMBERLAND,201101,03-Dec-14,Adult Social Care,  LD North - LN1A1,306152,167008  ,Homecare,327.02,Expense
Northumberland County Council,http://statistics.data.gov.uk/doc/local-authority/35,AGE UK NORTHUMBERLAND,201101,03-Dec-14,Adult Social Care,  LD South - LS1B1,306153,167008  ,Homecare,153.53,Expense
