"Supplier Payments, where a specific charge is £250 or greater.",,,,,,,,,,,
Period 1-Oct-14 to 31-Oct-14,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Authority,,Vendor Name,Invoice,Payment ,Service Responsible for Spend,Service,Cost,Subjective,Subjective,Amount Exc,Type
Northumberland County Council,http://statistics.data.gov.uk/doc/local-authority/35,ABOUT ME CARE AND SUPPORT LTD,97004,02-Oct-14,Adult Social Care,  Older PDI Central - PCLB1 - Two,306401,167008  ,Homecare,759.77,Expense
Northumberland County Council,http://statistics.data.gov.uk/doc/local-authority/35,ACCESS CONTRACTING LIMITED,129075,20-Oct-14,Cultural and Related Services,  Ashington Leisure Centre,249570,110000  ,Building Maintenance - Structural - Planned,395,Expense
Northumberland County Council,http://statistics.data.gov.uk/doc/local-authority/35,ACCESS INDEPENDENT LTD,97433,27-Oct-14,Central Services,  Blue Badges Scheme,255500,101100  ,Staff Training & Development,600,Expense
Northumberland County Council,http://statistics.data.gov.uk/doc/local-authority/35,ACOMB COURT CARE HOME,120856,15-Oct-14,Adult Social Care,  Older PDI West - PWLTH - One,306412,167007  ,Residential Care,"2,064.33",Expense
Northumberland County Council,http://statistics.data.gov.uk/doc/local-authority/35,ACOMB COURT CARE HOME,150598,31-Oct-14,Adult Social Care,  Older PDI West - PWLTH - One,306412,167006  ,Care Homes with Nursing,"3,480.06",Expense
Northumberland County Council,http://statistics.data.gov.uk/doc/local-authority/35,ACOMB COURT CARE HOME,150598,31-Oct-14,Adult Social Care,  Older PDI West - PWLTH - One,306412,167007  ,Residential Care,"1,740.03",Expense
Northumberland County Council,http://statistics.data.gov.uk/doc/local-authority/35,ACOMB COURT CARE HOME,150598,31-Oct-14,Adult Social Care,  Older MH West - PWMH1,306414,167007  ,Residential Care,"3,499.45",Expense
Northumberland County Council,http://statistics.data.gov.uk/doc/local-authority/35,ACOMB COURT CARE HOME,150598,31-Oct-14,Adult Social Care,  F.N.C.,306421,167006  ,Care Homes with Nursing,823.76,Expense
Northumberland County Council,http://statistics.data.gov.uk/doc/local-authority/35,ACOMB COURT CARE HOME,102235,03-Oct-14,Adult Social Care,  Older PDI West - PWLTH - One,306412,167006  ,Care Homes with Nursing,"3,729.12",Expense
Northumberland County Council,http://statistics.data.gov.uk/doc/local-authority/35,ACOMB COURT CARE HOME,102235,03-Oct-14,Adult Social Care,  Older PDI West - PWLTH - One,306412,167007  ,Residential Care,"1,864.56",Expense
Northumberland County Council,http://statistics.data.gov.uk/doc/local-authority/35,ACOMB COURT CARE HOME,102235,03-Oct-14,Adult Social Care,  Older MH West - PWMH1,306414,167007  ,Residential Care,"3,749.88",Expense
Northumberland County Council,http://statistics.data.gov.uk/doc/local-authority/35,ACOMB COURT CARE HOME,102235,03-Oct-14,Adult Social Care,  F.N.C.,306421,167006  ,Care Homes with Nursing,887.12,Expense
Northumberland County Council,http://statistics.data.gov.uk/doc/local-authority/35,ACOMB COURT CARE HOME,150597,31-Oct-14,Adult Social Care,  Older PDI West - PWLTH - One,306412,167006  ,Care Homes with Nursing,266.36,Expense
Northumberland County Council,http://statistics.data.gov.uk/doc/local-authority/35,ACOMB COURT CARE HOME,150597,31-Oct-14,Adult Social Care,  Older PDI West - PWLTH - One,306412,167007  ,Residential Care,133.18,Expense
Northumberland County Council,http://statistics.data.gov.uk/doc/local-authority/35,ACOMB COURT CARE HOME,150597,31-Oct-14,Adult Social Care,  Older MH West - PWMH1,306414,167007  ,Residential Care,267.85,Expense
Northumberland County Council,http://statistics.data.gov.uk/doc/local-authority/35,ACOMB COURT CARE HOME,150597,31-Oct-14,Adult Social Care,  F.N.C.,306421,167006  ,Care Homes with Nursing,63.36,Expense
Northumberland County Council,http://statistics.data.gov.uk/doc/local-authority/35,ACOMB COURT CARE HOME,150600,31-Oct-14,Adult Social Care,  LD West - LW1H1,306154,167007  ,Residential Care,"1,740.03",Expense
Northumberland County Council,http://statistics.data.gov.uk/doc/local-authority/35,ACOMB COURT CARE HOME,150600,31-Oct-14,Adult Social Care,  Older PDI West - PWLTH - One,306412,167006  ,Care Homes with Nursing,"6,960.12",Expense
Northumberland County Council,http://statistics.data.gov.uk/doc/local-authority/35,ACOMB COURT CARE HOME,150600,31-Oct-14,Adult Social Care,  Older PDI West - PWLTH - One,306412,167007  ,Residential Care,"1,740.03",Expense
Northumberland County Council,http://statistics.data.gov.uk/doc/local-authority/35,ACOMB COURT CARE HOME,150600,31-Oct-14,Adult Social Care,  Older MH West - PWMH1,306414,167006  ,Care Homes with Nursing,"1,740.03",Expense
Northumberland County Council,http://statistics.data.gov.uk/doc/local-authority/35,ACOMB COURT CARE HOME,150600,31-Oct-14,Adult Social Care,  Older MH West - PWMH1,306414,167007  ,Residential Care,"1,740.03",Expense
Northumberland County Council,http://statistics.data.gov.uk/doc/local-authority/35,ACOMB COURT CARE HOME,150600,31-Oct-14,Adult Social Care,  F.N.C.,306421,167006  ,Care Homes with Nursing,"2,059.40",Expense
Northumberland County Council,http://statistics.data.gov.uk/doc/local-authority/35,ACOMB COURT CARE HOME,102236,03-Oct-14,Adult Social Care,  LD West - LW1H1,306154,167007  ,Residential Care,"1,864.56",Expense
Northumberland County Council,http://statistics.data.gov.uk/doc/local-authority/35,ACOMB COURT CARE HOME,102236,03-Oct-14,Adult Social Care,  Older PDI West - PWLTH - One,306412,167006  ,Care Homes with Nursing,"7,458.24",Expense
Northumberland County Council,http://statistics.data.gov.uk/doc/local-authority/35,ACOMB COURT CARE HOME,102236,03-Oct-14,Adult Social Care,  Older PDI West - PWLTH - One,306412,167007  ,Residential Care,"1,864.56",Expense
Northumberland County Council,http://statistics.data.gov.uk/doc/local-authority/35,ACOMB COURT CARE HOME,102236,03-Oct-14,Adult Social Care,  Older MH West - PWMH1,306414,167006  ,Care Homes with Nursing,"1,864.56",Expense
Northumberland County Council,http://statistics.data.gov.uk/doc/local-authority/35,ACOMB COURT CARE HOME,102236,03-Oct-14,Adult Social Care,  Older MH West - PWMH1,306414,167007  ,Residential Care,"1,864.56",Expense
Northumberland County Council,http://statistics.data.gov.uk/doc/local-authority/35,ACOMB COURT CARE HOME,102236,03-Oct-14,Adult Social Care,  F.N.C.,306421,167006  ,Care Homes with Nursing,"2,217.80",Expense
Northumberland County Council,http://statistics.data.gov.uk/doc/local-authority/35,ACOMB COURT CARE HOME,102236,03-Oct-14,Personnel Allow Payments,  Personnel Allow Payments,990345,500190  ,Personal Allowances Dr,95.6,Expense
Northumberland County Council,http://statistics.data.gov.uk/doc/local-authority/35,ACOMB COURT CARE HOME,150599,31-Oct-14,Adult Social Care,  LD West - LW1H1,306154,167007  ,Residential Care,133.18,Expense
Northumberland County Council,http://statistics.data.gov.uk/doc/local-authority/35,ACOMB COURT CARE HOME,150599,31-Oct-14,Adult Social Care,  Older PDI West - PWLTH - One,306412,167006  ,Care Homes with Nursing,532.72,Expense
Northumberland County Council,http://statistics.data.gov.uk/doc/local-authority/35,ACOMB COURT CARE HOME,150599,31-Oct-14,Adult Social Care,  Older PDI West - PWLTH - One,306412,167007  ,Residential Care,133.18,Expense
Northumberland County Council,http://statistics.data.gov.uk/doc/local-authority/35,ACOMB COURT CARE HOME,150599,31-Oct-14,Adult Social Care,  Older MH West - PWMH1,306414,167006  ,Care Homes with Nursing,133.18,Expense
Northumberland County Council,http://statistics.data.gov.uk/doc/local-authority/35,ACOMB COURT CARE HOME,150599,31-Oct-14,Adult Social Care,  Older MH West - PWMH1,306414,167007  ,Residential Care,133.18,Expense
Northumberland County Council,http://statistics.data.gov.uk/doc/local-authority/35,ACOMB COURT CARE HOME,150599,31-Oct-14,Adult Social Care,  F.N.C.,306421,167006  ,Care Homes with Nursing,158.4,Expense
Northumberland County Council,http://statistics.data.gov.uk/doc/local-authority/35,ACOMB COURT CARE HOME,150599,31-Oct-14,Personnel Allow Payments,  Personnel Allow Payments,990345,500190  ,Personal Allowances Dr,191.2,Expense
Northumberland County Council,http://statistics.data.gov.uk/doc/local-authority/35,ACOMB COURT CARE HOME,150602,31-Oct-14,Adult Social Care,  Older MH West - PWMH1,306414,167007  ,Residential Care,406.02,Expense
Northumberland County Council,http://statistics.data.gov.uk/doc/local-authority/35,ACOMB COURT CARE HOME,150603,31-Oct-14,Adult Social Care,  Older PDI West - PWLTH - One,306412,167007  ,Residential Care,"3,480.06",Expense
Northumberland County Council,http://statistics.data.gov.uk/doc/local-authority/35,ACOMB COURT CARE HOME,150603,31-Oct-14,Adult Social Care,  Older PDI West - PWLTP - Two,306413,167007  ,Residential Care,"1,740.03",Expense
Northumberland County Council,http://statistics.data.gov.uk/doc/local-authority/35,ACOMB COURT CARE HOME,150603,31-Oct-14,Adult Social Care,  Older MH West - PWMH1,306414,167006  ,Care Homes with Nursing,"1,740.03",Expense
Northumberland County Council,http://statistics.data.gov.uk/doc/local-authority/35,ACOMB COURT CARE HOME,150603,31-Oct-14,Adult Social Care,  Older MH West - PWMH1,306414,167007  ,Residential Care,"3,499.45",Expense
Northumberland County Council,http://statistics.data.gov.uk/doc/local-authority/35,ACOMB COURT CARE HOME,150603,31-Oct-14,Adult Social Care,  CHC Packages,306420,167006  ,Care Homes with Nursing,"1,543.32",Expense
Northumberland County Council,http://statistics.data.gov.uk/doc/local-authority/35,ACOMB COURT CARE HOME,150603,31-Oct-14,Adult Social Care,  F.N.C.,306421,167006  ,Care Homes with Nursing,411.88,Expense
Northumberland County Council,http://statistics.data.gov.uk/doc/local-authority/35,ACOMB COURT CARE HOME,102237,03-Oct-14,Adult Social Care,  Older PDI West - PWLTH - One,306412,167007  ,Residential Care,"3,729.12",Expense
Northumberland County Council,http://statistics.data.gov.uk/doc/local-authority/35,ACOMB COURT CARE HOME,102237,03-Oct-14,Adult Social Care,  Older PDI West - PWLTP - Two,306413,167007  ,Residential Care,"1,864.56",Expense
Northumberland County Council,http://statistics.data.gov.uk/doc/local-authority/35,ACOMB COURT CARE HOME,102237,03-Oct-14,Adult Social Care,  Older MH West - PWMH1,306414,167006  ,Care Homes with Nursing,"1,864.56",Expense
Northumberland County Council,http://statistics.data.gov.uk/doc/local-authority/35,ACOMB COURT CARE HOME,102237,03-Oct-14,Adult Social Care,  Older MH West - PWMH1,306414,167007  ,Residential Care,"5,635.20",Expense
Northumberland County Council,http://statistics.data.gov.uk/doc/local-authority/35,ACOMB COURT CARE HOME,102237,03-Oct-14,Adult Social Care,  F.N.C.,306421,167006  ,Care Homes with Nursing,443.56,Expense
Northumberland County Council,http://statistics.data.gov.uk/doc/local-authority/35,ACOMB COURT CARE HOME,150601,31-Oct-14,Adult Social Care,  Older PDI West - PWLTH - One,306412,167007  ,Residential Care,266.36,Expense
Northumberland County Council,http://statistics.data.gov.uk/doc/local-authority/35,ACOMB COURT CARE HOME,150601,31-Oct-14,Adult Social Care,  Older PDI West - PWLTP - Two,306413,167007  ,Residential Care,133.18,Expense
Northumberland County Council,http://statistics.data.gov.uk/doc/local-authority/35,ACOMB COURT CARE HOME,150601,31-Oct-14,Adult Social Care,  Older MH West - PWMH1,306414,167006  ,Care Homes with Nursing,133.18,Expense
Northumberland County Council,http://statistics.data.gov.uk/doc/local-authority/35,ACOMB COURT CARE HOME,150601,31-Oct-14,Adult Social Care,  Older MH West - PWMH1,306414,167007  ,Residential Care,402.52,Expense
Northumberland County Council,http://statistics.data.gov.uk/doc/local-authority/35,ACOMB COURT CARE HOME,150601,31-Oct-14,Adult Social Care,  F.N.C.,306421,167006  ,Care Homes with Nursing,31.68,Expense
Northumberland County Council,http://statistics.data.gov.uk/doc/local-authority/35,ACOMB COURT CARE HOME,150605,31-Oct-14,Adult Social Care,  Older PDI West - PWLTP - Two,306413,167006  ,Care Homes with Nursing,"1,740.03",Expense
Northumberland County Council,http://statistics.data.gov.uk/doc/local-authority/35,ACOMB COURT CARE HOME,150605,31-Oct-14,Adult Social Care,  Older MH West - PWMH1,306414,167006  ,Care Homes with Nursing,"1,740.03",Expense
Northumberland County Council,http://statistics.data.gov.uk/doc/local-authority/35,ACOMB COURT CARE HOME,150605,31-Oct-14,Adult Social Care,  Older MH West - PWMH1,306414,167007  ,Residential Care,"3,499.45",Expense
Northumberland County Council,http://statistics.data.gov.uk/doc/local-authority/35,ACOMB COURT CARE HOME,150605,31-Oct-14,Adult Social Care,  CHC Packages,306420,167006  ,Care Homes with Nursing,"4,303.82",Expense
Northumberland County Council,http://statistics.data.gov.uk/doc/local-authority/35,ACOMB COURT CARE HOME,150605,31-Oct-14,Adult Social Care,  F.N.C.,306421,167006  ,Care Homes with Nursing,823.76,Expense
Northumberland County Council,http://statistics.data.gov.uk/doc/local-authority/35,ACOMB COURT CARE HOME,102238,03-Oct-14,Adult Social Care,  Older PDI West - PWLTP - Two,306413,167006  ,Care Homes with Nursing,"1,864.56",Expense
Northumberland County Council,http://statistics.data.gov.uk/doc/local-authority/35,ACOMB COURT CARE HOME,102238,03-Oct-14,Adult Social Care,  Older MH West - PWMH1,306414,167006  ,Care Homes with Nursing,"1,864.56",Expense
Northumberland County Council,http://statistics.data.gov.uk/doc/local-authority/35,ACOMB COURT CARE HOME,102238,03-Oct-14,Adult Social Care,  Older MH West - PWMH1,306414,167007  ,Residential Care,"3,749.88",Expense
Northumberland County Council,http://statistics.data.gov.uk/doc/local-authority/35,ACOMB COURT CARE HOME,102238,03-Oct-14,Adult Social Care,  CHC Packages,306420,167006  ,Care Homes with Nursing,"4,616.24",Expense
Northumberland County Council,http://statistics.data.gov.uk/doc/local-authority/35,ACOMB COURT CARE HOME,102238,03-Oct-14,Adult Social Care,  F.N.C.,306421,167006  ,Care Homes with Nursing,887.12,Expense
Northumberland County Council,http://statistics.data.gov.uk/doc/local-authority/35,ACOMB COURT CARE HOME,150604,31-Oct-14,Adult Social Care,  Older PDI West - PWLTP - Two,306413,167006  ,Care Homes with Nursing,133.18,Expense
Northumberland County Council,http://statistics.data.gov.uk/doc/local-authority/35,ACOMB COURT CARE HOME,150604,31-Oct-14,Adult Social Care,  Older MH West - PWMH1,306414,167006  ,Care Homes with Nursing,133.18,Expense
Northumberland County Council,http://statistics.data.gov.uk/doc/local-authority/35,ACOMB COURT CARE HOME,150604,31-Oct-14,Adult Social Care,  Older MH West - PWMH1,306414,167007  ,Residential Care,267.85,Expense
Northumberland County Council,http://statistics.data.gov.uk/doc/local-authority/35,ACOMB COURT CARE HOME,150604,31-Oct-14,Adult Social Care,  CHC Packages,306420,167006  ,Care Homes with Nursing,329.72,Expense
Northumberland County Council,http://statistics.data.gov.uk/doc/local-authority/35,ACOMB COURT CARE HOME,150604,31-Oct-14,Adult Social Care,  F.N.C.,306421,167006  ,Care Homes with Nursing,63.36,Expense
Northumberland County Council,http://statistics.data.gov.uk/doc/local-authority/35,ACOMB COURT CARE HOME,150607,31-Oct-14,Adult Social Care,  Older PDI West - PWLTH - One,306412,167007  ,Residential Care,"1,740.03",Expense
Northumberland County Council,http://statistics.data.gov.uk/doc/local-authority/35,ACOMB COURT CARE HOME,150609,31-Oct-14,Adult Social Care,  Older PDI West - PWLTH - One,306412,167006  ,Care Homes with Nursing,"1,740.03",Expense
Northumberland County Council,http://statistics.data.gov.uk/doc/local-authority/35,ACOMB COURT CARE HOME,150609,31-Oct-14,Adult Social Care,  CHC Packages,306420,167006  ,Care Homes with Nursing,"2,151.91",Expense
Northumberland County Council,http://statistics.data.gov.uk/doc/local-authority/35,ACOMB COURT CARE HOME,150609,31-Oct-14,Adult Social Care,  F.N.C.,306421,167006  ,Care Homes with Nursing,"2,471.28",Expense
Northumberland County Council,http://statistics.data.gov.uk/doc/local-authority/35,ACOMB COURT CARE HOME,96730,01-Oct-14,Adult Social Care,  F.N.C.,306421,167006  ,Care Homes with Nursing,"1,188.11",Expense
Northumberland County Council,http://statistics.data.gov.uk/doc/local-authority/35,ACOMB COURT CARE HOME,102239,03-Oct-14,Adult Social Care,  Older PDI West - PWLTH - One,306412,167006  ,Care Homes with Nursing,"1,864.56",Expense
Northumberland County Council,http://statistics.data.gov.uk/doc/local-authority/35,ACOMB COURT CARE HOME,102239,03-Oct-14,Adult Social Care,  CHC Packages,306420,167006  ,Care Homes with Nursing,"2,308.12",Expense
Northumberland County Council,http://statistics.data.gov.uk/doc/local-authority/35,ACOMB COURT CARE HOME,102239,03-Oct-14,Adult Social Care,  F.N.C.,306421,167006  ,Care Homes with Nursing,"2,661.36",Expense
Northumberland County Council,http://statistics.data.gov.uk/doc/local-authority/35,ACOMB COURT CARE HOME,150608,31-Oct-14,Adult Social Care,  Older PDI West - PWLTH - One,306412,167006  ,Care Homes with Nursing,133.18,Expense
Northumberland County Council,http://statistics.data.gov.uk/doc/local-authority/35,ACOMB COURT CARE HOME,150608,31-Oct-14,Adult Social Care,  CHC Packages,306420,167006  ,Care Homes with Nursing,164.86,Expense
Northumberland County Council,http://statistics.data.gov.uk/doc/local-authority/35,ACOMB COURT CARE HOME,150608,31-Oct-14,Adult Social Care,  F.N.C.,306421,167006  ,Care Homes with Nursing,190.08,Expense
Northumberland County Council,http://statistics.data.gov.uk/doc/local-authority/35,ACROL AIR CONDITIONING CO LTD,133394,27-Oct-14,Children's and Education Services,  Kyloe House,17010,110000  ,Building Maintenance - Structural - Planned,692,Expense
Northumberland County Council,http://statistics.data.gov.uk/doc/local-authority/35,ACROL AIR CONDITIONING CO LTD,133395,27-Oct-14,Cultural and Related Services,  Ashington Leisure Centre,249570,110000  ,Building Maintenance - Structural - Planned,"1,045.11",Expense
Northumberland County Council,http://statistics.data.gov.uk/doc/local-authority/35,ACROL AIR CONDITIONING CO LTD,133396,27-Oct-14,Central Services,  Property SLA Recharges - Blyth CC,128042,110000  ,Building Maintenance - Structural - Planned,684.5,Expense
Northumberland County Council,http://statistics.data.gov.uk/doc/local-authority/35,ACROL AIR CONDITIONING CO LTD,133397,27-Oct-14,Central Services,  Property SLA Recharges - Woodhorn Trust,128035,110000  ,Building Maintenance - Structural - Planned,989,Expense
Northumberland County Council,http://statistics.data.gov.uk/doc/local-authority/35,ACRYLIC DESIGN,88940,09-Oct-14,Cultural and Related Services,  Alnwick TIC,250270,140000  ,Equipment,325.06,Expense
Northumberland County Council,http://statistics.data.gov.uk/doc/local-authority/35,ACTION FOR CHILDREN SERVICES LIMITED,140007,27-Oct-14,Children's and Education Services,  Family Placement Service,17012,181001  ,Other Placement Costs,750,Expense
Northumberland County Council,http://statistics.data.gov.uk/doc/local-authority/35,ACTION FOR CHILDREN SERVICES LIMITED,130318,21-Oct-14,Children's and Education Services,  Family Placement Service,17012,181001  ,Other Placement Costs,750,Expense
Northumberland County Council,http://statistics.data.gov.uk/doc/local-authority/35,ACTION FOR CHILDREN SERVICES LIMITED,141192,28-Oct-14,Children's and Education Services,  Family Placement Service,17012,181001  ,Other Placement Costs,750,Expense
Northumberland County Council,http://statistics.data.gov.uk/doc/local-authority/35,ACTION FOR CHILDREN SERVICES LIMITED,81143,09-Oct-14,Children's and Education Services,  Berwick Sure Start Local Programme,9403,100600  ,Temporary / Agency Staff,"1,261.87",Expense
Northumberland County Council,http://statistics.data.gov.uk/doc/local-authority/35,ACTION FOR CHILDREN SERVICES LIMITED,81142,13-Oct-14,Children's and Education Services,  Berwick Sure Start Local Programme,9403,100600  ,Temporary / Agency Staff,963.79,Expense
Northumberland County Council,http://statistics.data.gov.uk/doc/local-authority/35,ACTION FOR CHILDREN SERVICES LIMITED,85357,15-Oct-14,Children's and Education Services,  Berwick Sure Start Local Programme,9403,100600  ,Temporary / Agency Staff,"1,400.98",Expense
Northumberland County Council,http://statistics.data.gov.uk/doc/local-authority/35,ACTION FOR CHILDREN SERVICES LIMITED,92903,27-Oct-14,Children's and Education Services,  Out Of County Placements,16020,167004  ,Out Of County Residential Placements,"11,656.56",Expense
Northumberland County Council,http://statistics.data.gov.uk/doc/local-authority/35,ACTION FOR CHILDREN SERVICES LIMITED,92900,27-Oct-14,Children's and Education Services,  Out Of County Placements,16020,167004  ,Out Of County Residential Placements,"13,238.80",Expense
Northumberland County Council,http://statistics.data.gov.uk/doc/local-authority/35,ACTION FOR CHILDREN SERVICES LIMITED,101897,27-Oct-14,Children's and Education Services,  FACT Teams Disability,15006,167010  ,Disability Respite Care,"159,136.80",Expense
Northumberland County Council,http://statistics.data.gov.uk/doc/local-authority/35,ACTION FOR CHILDREN SERVICES LIMITED,112888,28-Oct-14,Children's and Education Services,  Ashington Sure Start,9302,166000  ,Other Contributions,"159,792.52",Expense
Northumberland County Council,http://statistics.data.gov.uk/doc/local-authority/35,ACTION FOR CHILDREN SERVICES LIMITED,112888,28-Oct-14,Children's and Education Services,  Newbiggin Childrens Centre,9304,166000  ,Other Contributions,"70,662.02",Expense
Northumberland County Council,http://statistics.data.gov.uk/doc/local-authority/35,ACTION FOR CHILDREN SERVICES LIMITED,112888,28-Oct-14,Children's and Education Services,  Bedlington Sure Start Local Programme,9410,166000  ,Other Contributions,"82,305.19",Expense
Northumberland County Council,http://statistics.data.gov.uk/doc/local-authority/35,ACTION FOR CHILDREN SERVICES LIMITED,112888,28-Oct-14,Children's and Education Services,  Choppington Sure Start Local Programme,9411,166000  ,Other Contributions,"38,141.43",Expense
Northumberland County Council,http://statistics.data.gov.uk/doc/local-authority/35,ACTION FOR CHILDREN SERVICES LIMITED,112888,28-Oct-14,Children's and Education Services,  Morpeth Childrens Centre,9412,166000  ,Other Contributions,"33,323.57",Expense
Northumberland County Council,http://statistics.data.gov.uk/doc/local-authority/35,ACTION FOR CHILDREN SERVICES LIMITED,112888,28-Oct-14,Children's and Education Services,  Pegswood Childrens Centre,9413,166000  ,Other Contributions,"17,264.02",Expense
Northumberland County Council,http://statistics.data.gov.uk/doc/local-authority/35,ACTION FOR CHILDREN SERVICES LIMITED,114356,28-Oct-14,Children's and Education Services,  Social Worker Staff Teams,16028,320088  ,Rents and Leases - Income,"3,000.00",Revenue
Northumberland County Council,http://statistics.data.gov.uk/doc/local-authority/35,ACTION FOR CHILDREN SERVICES LIMITED,101401,27-Oct-14,Children's and Education Services,  Berwick Sure Start Local Programme,9403,100600  ,Temporary / Agency Staff,"1,410.91",Expense
Northumberland County Council,http://statistics.data.gov.uk/doc/local-authority/35,ACTION FOR CHILDREN SERVICES LIMITED,108126,07-Oct-14,Children's and Education Services,  Client Relations,24006,144025  ,Professional Services,"1,928.11",Expense
Northumberland County Council,http://statistics.data.gov.uk/doc/local-authority/35,ACTION FOR CHILDREN SERVICES LIMITED,108061,07-Oct-14,Children's and Education Services,  Client Relations,24006,144007  ,Advocacy,"2,483.07",Expense
Northumberland County Council,http://statistics.data.gov.uk/doc/local-authority/35,ACTION 4 ACOMB,138862,24-Oct-14,Planning Services,  Locality Development,103001,165000  ,Grants to Voluntary Bodies,"1,000.00",Expense
Northumberland County Council,http://statistics.data.gov.uk/doc/local-authority/35,ADAMS HETHERINGTON SOLICITORS,120144,15-Oct-14,Maintenance Debtors - General,  Maintenance Debtors - General,990016,500197  ,Debtors Raised,"8,657.96",Revenue
Northumberland County Council,http://statistics.data.gov.uk/doc/local-authority/35,ADAPT,133279,23-Oct-14,Rural Growth Network,  Rural Growth Network,990348,500115  ,RGN - Rural Growth Network,"6,436.81",Expense
Northumberland County Council,http://statistics.data.gov.uk/doc/local-authority/35,ADAPT,126434,17-Oct-14,Adult Social Care,  Block Contracts,303001,167012  ,Block Contracts,542.4,Expense
Northumberland County Council,http://statistics.data.gov.uk/doc/local-authority/35,ADAPT,126450,17-Oct-14,Adult Social Care,  Block Contracts,303001,167012  ,Block Contracts,259.2,Expense
Northumberland County Council,http://statistics.data.gov.uk/doc/local-authority/35,ADAPT,126451,17-Oct-14,Adult Social Care,  Block Contracts,303001,167012  ,Block Contracts,460.8,Expense
Northumberland County Council,http://statistics.data.gov.uk/doc/local-authority/35,ADAPT,126455,17-Oct-14,Adult Social Care,  Block Contracts,303001,167012  ,Block Contracts,548.4,Expense
Northumberland County Council,http://statistics.data.gov.uk/doc/local-authority/35,ADAPT,126457,17-Oct-14,Adult Social Care,  Block Contracts,303001,167012  ,Block Contracts,261.2,Expense
Northumberland County Council,http://statistics.data.gov.uk/doc/local-authority/35,ADAPT,97181,02-Oct-14,Adult Social Care,  Block Contracts,303001,167012  ,Block Contracts,"13,333.33",Expense
Northumberland County Council,http://statistics.data.gov.uk/doc/local-authority/35,ADAPT,126462,17-Oct-14,Adult Social Care,  Block Contracts,303001,167012  ,Block Contracts,259.2,Expense
Northumberland County Council,http://statistics.data.gov.uk/doc/local-authority/35,ADAPT,109167,24-Oct-14,Highways and Transport Services,  Supported Bus Services,204160,165000  ,Grants to Voluntary Bodies,990,Expense
