"Supplier Payments, where a specific charge is £250 or greater.",,,,,,,,,,,
Period 1-Nov-14 to 30-Nov-14,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Authority,,Vendor Name,Invoice,Payment ,Service Responsible for Spend,Service,Cost,Subjective,Subjective,Amount Exc,Type
Northumberland County Council,http://statistics.data.gov.uk/doc/local-authority/35,ABBEYFIELD NORTH NORTHUMBERLAND EXTRA CARE SOCIETY,198412,28-Nov-14,Adult Social Care,  Older Pdi North - PNLTA,306405,167007  ,Residential Care,"2,150.00",Expense
Northumberland County Council,http://statistics.data.gov.uk/doc/local-authority/35,ABBEYFIELD SOCIETY (BERWICK BANK HILL HOUSE),192793,27-Nov-14,Maintenance Debtors - General,  Maintenance Debtors - General,990016,500197  ,Debtors Raised,"1,087.69",Revenue
Northumberland County Council,http://statistics.data.gov.uk/doc/local-authority/35,ABC TAXIS,154488,05-Nov-14,Children's and Education Services,  Home to School Transport,204120,136000  ,Pupils - Travel,"1,530.00",Expense
Northumberland County Council,http://statistics.data.gov.uk/doc/local-authority/35,ABOUT ME CARE AND SUPPORT LTD,172096,14-Nov-14,Adult Social Care,  Older PDI South - PSLTB - One,306409,167008  ,Homecare,282.6,Expense
Northumberland County Council,http://statistics.data.gov.uk/doc/local-authority/35,ABOUT ME CARE AND SUPPORT LTD,154423,06-Nov-14,Adult Social Care,  Older PDI South - PSLTC - Two,306410,167008  ,Homecare,"1,165.20",Expense
Northumberland County Council,http://statistics.data.gov.uk/doc/local-authority/35,ABOUT ME CARE AND SUPPORT LTD,154425,06-Nov-14,Adult Social Care,  Older PDI Central - PCLB1 - Two,306401,167008  ,Homecare,597.67,Expense
Northumberland County Council,http://statistics.data.gov.uk/doc/local-authority/35,AB AUTOS,157084,06-Nov-14,Regional Growth Fund,  Regional Growth Fund,991220,500098  ,Partnership Development Projects,750.4,Expense
Northumberland County Council,http://statistics.data.gov.uk/doc/local-authority/35,ACADEMICS,117861,04-Nov-14,Children's and Education Services,  Kyloe House,17010,100600  ,Temporary / Agency Staff,795,Expense
Northumberland County Council,http://statistics.data.gov.uk/doc/local-authority/35,ACADEMICS,130362,11-Nov-14,Children's and Education Services,  Kyloe House,17010,100600  ,Temporary / Agency Staff,636,Expense
Northumberland County Council,http://statistics.data.gov.uk/doc/local-authority/35,ACADEMICS,140829,18-Nov-14,Children's and Education Services,  Kyloe House,17010,100600  ,Temporary / Agency Staff,795,Expense
Northumberland County Council,http://statistics.data.gov.uk/doc/local-authority/35,ACADEMICS,155160,25-Nov-14,Children's and Education Services,  Kyloe House,17010,100600  ,Temporary / Agency Staff,795,Expense
Northumberland County Council,http://statistics.data.gov.uk/doc/local-authority/35,ACCESS POINT,126324,03-Nov-14,Children's and Education Services,  School Admissions & FIS,24015,144051  ,Advertising / Publicity,"1,575.00",Expense
Northumberland County Council,http://statistics.data.gov.uk/doc/local-authority/35,ACOMB COURT CARE HOME,189819,25-Nov-14,Adult Social Care,  Older PDI West - PWLTH - One,306412,167006  ,Care Homes with Nursing,"3,747.76",Expense
Northumberland County Council,http://statistics.data.gov.uk/doc/local-authority/35,ACOMB COURT CARE HOME,189819,25-Nov-14,Adult Social Care,  Older PDI West - PWLTH - One,306412,167007  ,Residential Care,"1,873.88",Expense
Northumberland County Council,http://statistics.data.gov.uk/doc/local-authority/35,ACOMB COURT CARE HOME,189819,25-Nov-14,Adult Social Care,  Older MH West - PWMH1,306414,167007  ,Residential Care,"3,768.64",Expense
Northumberland County Council,http://statistics.data.gov.uk/doc/local-authority/35,ACOMB COURT CARE HOME,189819,25-Nov-14,Adult Social Care,  F.N.C.,306421,167006  ,Care Homes with Nursing,887.12,Expense
Northumberland County Council,http://statistics.data.gov.uk/doc/local-authority/35,ACOMB COURT CARE HOME,189820,25-Nov-14,Adult Social Care,  LD West - LW1H1,306154,167007  ,Residential Care,"1,873.88",Expense
Northumberland County Council,http://statistics.data.gov.uk/doc/local-authority/35,ACOMB COURT CARE HOME,189820,25-Nov-14,Adult Social Care,  Older PDI West - PWLTH - One,306412,167006  ,Care Homes with Nursing,"7,495.52",Expense
Northumberland County Council,http://statistics.data.gov.uk/doc/local-authority/35,ACOMB COURT CARE HOME,189820,25-Nov-14,Adult Social Care,  Older PDI West - PWLTH - One,306412,167007  ,Residential Care,"1,873.88",Expense
Northumberland County Council,http://statistics.data.gov.uk/doc/local-authority/35,ACOMB COURT CARE HOME,189820,25-Nov-14,Adult Social Care,  Older MH West - PWMH1,306414,167006  ,Care Homes with Nursing,"1,873.88",Expense
Northumberland County Council,http://statistics.data.gov.uk/doc/local-authority/35,ACOMB COURT CARE HOME,189820,25-Nov-14,Adult Social Care,  Older MH West - PWMH1,306414,167007  ,Residential Care,"1,873.88",Expense
Northumberland County Council,http://statistics.data.gov.uk/doc/local-authority/35,ACOMB COURT CARE HOME,189820,25-Nov-14,Adult Social Care,  F.N.C.,306421,167006  ,Care Homes with Nursing,"2,217.80",Expense
Northumberland County Council,http://statistics.data.gov.uk/doc/local-authority/35,ACOMB COURT CARE HOME,189820,25-Nov-14,Personnel Allow Payments,  Personnel Allow Payments,990345,500190  ,Personal Allowances Dr,191.2,Expense
Northumberland County Council,http://statistics.data.gov.uk/doc/local-authority/35,ACOMB COURT CARE HOME,189821,25-Nov-14,Adult Social Care,  Older PDI West - PWLTH - One,306412,167006  ,Care Homes with Nursing,"1,338.49",Expense
Northumberland County Council,http://statistics.data.gov.uk/doc/local-authority/35,ACOMB COURT CARE HOME,189821,25-Nov-14,Adult Social Care,  Older PDI West - PWLTH - One,306412,167007  ,Residential Care,"3,747.76",Expense
Northumberland County Council,http://statistics.data.gov.uk/doc/local-authority/35,ACOMB COURT CARE HOME,189821,25-Nov-14,Adult Social Care,  Older PDI West - PWLTP - Two,306413,167007  ,Residential Care,"1,873.88",Expense
Northumberland County Council,http://statistics.data.gov.uk/doc/local-authority/35,ACOMB COURT CARE HOME,189821,25-Nov-14,Adult Social Care,  Older MH West - PWMH1,306414,167006  ,Care Homes with Nursing,"1,873.88",Expense
Northumberland County Council,http://statistics.data.gov.uk/doc/local-authority/35,ACOMB COURT CARE HOME,189821,25-Nov-14,Adult Social Care,  Older MH West - PWMH1,306414,167007  ,Residential Care,"5,392.72",Expense
Northumberland County Council,http://statistics.data.gov.uk/doc/local-authority/35,ACOMB COURT CARE HOME,189821,25-Nov-14,Adult Social Care,  F.N.C.,306421,167006  ,Care Homes with Nursing,760.39,Expense
Northumberland County Council,http://statistics.data.gov.uk/doc/local-authority/35,ACOMB COURT CARE HOME,189822,25-Nov-14,Adult Social Care,  Older MH West - PWMH1,306414,167007  ,Residential Care,"1,003.86",Expense
Northumberland County Council,http://statistics.data.gov.uk/doc/local-authority/35,ACOMB COURT CARE HOME,189823,25-Nov-14,Adult Social Care,  Older PDI West - PWLTP - Two,306413,167006  ,Care Homes with Nursing,"1,873.88",Expense
Northumberland County Council,http://statistics.data.gov.uk/doc/local-authority/35,ACOMB COURT CARE HOME,189823,25-Nov-14,Adult Social Care,  Older MH West - PWMH1,306414,167006  ,Care Homes with Nursing,"1,740.03",Expense
Northumberland County Council,http://statistics.data.gov.uk/doc/local-authority/35,ACOMB COURT CARE HOME,189823,25-Nov-14,Adult Social Care,  Older MH West - PWMH1,306414,167007  ,Residential Care,"1,894.76",Expense
Northumberland County Council,http://statistics.data.gov.uk/doc/local-authority/35,ACOMB COURT CARE HOME,189823,25-Nov-14,Adult Social Care,  CHC Packages,306420,167006  ,Care Homes with Nursing,"2,317.44",Expense
Northumberland County Council,http://statistics.data.gov.uk/doc/local-authority/35,ACOMB COURT CARE HOME,189823,25-Nov-14,Adult Social Care,  F.N.C.,306421,167006  ,Care Homes with Nursing,855.44,Expense
Northumberland County Council,http://statistics.data.gov.uk/doc/local-authority/35,ACOMB COURT CARE HOME,189824,25-Nov-14,Adult Social Care,  Older PDI West - PWLTH - One,306412,167007  ,Residential Care,"1,070.79",Expense
Northumberland County Council,http://statistics.data.gov.uk/doc/local-authority/35,ACOMB COURT CARE HOME,151413,03-Nov-14,Adult Social Care,  F.N.C.,306421,167006  ,Care Homes with Nursing,"3,953.91",Expense
Northumberland County Council,http://statistics.data.gov.uk/doc/local-authority/35,ACOMB COURT CARE HOME,189825,25-Nov-14,Adult Social Care,  F.N.C.,306421,167006  ,Care Homes with Nursing,443.56,Expense
Northumberland County Council,http://statistics.data.gov.uk/doc/local-authority/35,ACOMB COURT CARE HOME,189826,25-Nov-14,Adult Social Care,  Older PDI West - PWLTH - One,306412,167006  ,Care Homes with Nursing,"1,873.88",Expense
Northumberland County Council,http://statistics.data.gov.uk/doc/local-authority/35,ACOMB COURT CARE HOME,189826,25-Nov-14,Adult Social Care,  CHC Packages,306420,167006  ,Care Homes with Nursing,"2,317.44",Expense
Northumberland County Council,http://statistics.data.gov.uk/doc/local-authority/35,ACOMB COURT CARE HOME,189826,25-Nov-14,Adult Social Care,  F.N.C.,306421,167006  ,Care Homes with Nursing,"3,263.33",Expense
Northumberland County Council,http://statistics.data.gov.uk/doc/local-authority/35,ACROL AIR CONDITIONING CO LTD,140205,12-Nov-14,Cultural and Related Services,  Hexham Library,252385,110001  ,Building Maintenance - Structural - Unplanned,686,Expense
Northumberland County Council,http://statistics.data.gov.uk/doc/local-authority/35,ACTION FOR CHILDREN SERVICES LIMITED,167227,12-Nov-14,Children's and Education Services,  Free Early Learning and Childcare (2Year Olds) Grant,24022,166000  ,Other Contributions,"12,687.50",Expense
Northumberland County Council,http://statistics.data.gov.uk/doc/local-authority/35,ACTION FOR CHILDREN SERVICES LIMITED,167237,12-Nov-14,Children's and Education Services,  Free Early Learning and Childcare (2Year Olds) Grant,24022,166000  ,Other Contributions,"6,142.25",Expense
Northumberland County Council,http://statistics.data.gov.uk/doc/local-authority/35,ACTION FOR CHILDREN SERVICES LIMITED,167242,12-Nov-14,Children's and Education Services,  Free Early Learning and Childcare (2Year Olds) Grant,24022,166000  ,Other Contributions,"5,595.85",Expense
Northumberland County Council,http://statistics.data.gov.uk/doc/local-authority/35,ACTION FOR CHILDREN SERVICES LIMITED,167261,12-Nov-14,Children's and Education Services,  Free Early Learning and Childcare (2Year Olds) Grant,24022,166000  ,Other Contributions,"2,743.15",Expense
Northumberland County Council,http://statistics.data.gov.uk/doc/local-authority/35,ACTION FOR CHILDREN SERVICES LIMITED,167105,12-Nov-14,Children's and Education Services,  Funding for 3 and 4 Year Old Children,24018,166000  ,Other Contributions,"6,040.45",Expense
Northumberland County Council,http://statistics.data.gov.uk/doc/local-authority/35,ACTION FOR CHILDREN SERVICES LIMITED,198173,28-Nov-14,Accounts Receivable,  Accounts Receivable,990004,500166  ,AR - Autoinvoice Clearing,"1,330.28",Asset
Northumberland County Council,http://statistics.data.gov.uk/doc/local-authority/35,ACTION FOR CHILDREN SERVICES LIMITED,129407,11-Nov-14,Children's and Education Services,  Berwick Sure Start Local Programme,9403,100600  ,Temporary / Agency Staff,927.36,Expense
Northumberland County Council,http://statistics.data.gov.uk/doc/local-authority/35,ACTION FOR CHILDREN SERVICES LIMITED,151511,26-Nov-14,Children's and Education Services,  Out Of County Placements,16020,167004  ,Out Of County Residential Placements,"14,570.70",Expense
Northumberland County Council,http://statistics.data.gov.uk/doc/local-authority/35,ACTION FOR CHILDREN SERVICES LIMITED,151516,26-Nov-14,Children's and Education Services,  Out Of County Placements,16020,167004  ,Out Of County Residential Placements,"16,547.60",Expense
Northumberland County Council,http://statistics.data.gov.uk/doc/local-authority/35,ACTION FOR CHILDREN SERVICES LIMITED,176375,17-Nov-14,Children's and Education Services,  LIST - Central Team,14122,100601  ,Staff charges from Other Bodies,"6,070.00",Expense
Northumberland County Council,http://statistics.data.gov.uk/doc/local-authority/35,ACTION FOR CHILDREN SERVICES LIMITED,151501,24-Nov-14,Children's and Education Services,  Education Provided Other Than At School,14000,144025  ,Professional Services,939.18,Expense
Northumberland County Council,http://statistics.data.gov.uk/doc/local-authority/35,ACTIVE COMPOSITES LIMITED,150871,03-Nov-14,Regional Growth Fund,  Regional Growth Fund,991220,500098  ,Partnership Development Projects,"1,179.94",Expense
Northumberland County Council,http://statistics.data.gov.uk/doc/local-authority/35,ACTIVE NORTHUMBERLAND,174255,27-Nov-14,Fixed Asset Account,  Fixed Asset Account,990120,500171  ,CIP - Infrastructure,"10,000.00",Revenue
Northumberland County Council,http://statistics.data.gov.uk/doc/local-authority/35,ACTIVE NORTHUMBERLAND,168609,13-Nov-14,Section 106 Agreements - South East,  Section 106 Agreements - South East,990191,500007  ,Section 106 Expenditure,"47,956.00",Expense
Northumberland County Council,http://statistics.data.gov.uk/doc/local-authority/35,ACTIVE NORTHUMBERLAND,176110,17-Nov-14,Public Health,  BVAL,35101,144034  ,Commissioned Services,"6,038.00",Expense
Northumberland County Council,http://statistics.data.gov.uk/doc/local-authority/35,ACTIVE NORTHUMBERLAND,176036,17-Nov-14,Public Health,  BVAL,35101,144034  ,Commissioned Services,"6,038.00",Expense
Northumberland County Council,http://statistics.data.gov.uk/doc/local-authority/35,ACTIVE NORTHUMBERLAND,187876,24-Nov-14,Cultural and Related Services,  Woodland Management,203150,119000  ,Grounds Maintenance,"5,500.00",Expense
Northumberland County Council,http://statistics.data.gov.uk/doc/local-authority/35,ADAPT,150822,03-Nov-14,Adult Social Care,  Local Healthwatch,303053,167012  ,Block Contracts,"78,500.00",Expense
Northumberland County Council,http://statistics.data.gov.uk/doc/local-authority/35,ADAPT,117331,10-Nov-14,Children's and Education Services,  Home to School Transport,204120,136000  ,Pupils - Travel,"2,954.60",Expense
Northumberland County Council,http://statistics.data.gov.uk/doc/local-authority/35,ADAPT,192944,27-Nov-14,Adult Social Care,  Block Contracts,303001,167012  ,Block Contracts,"1,725.00",Expense
Northumberland County Council,http://statistics.data.gov.uk/doc/local-authority/35,ADAPT,154907,17-Nov-14,Highways and Transport Services,  Supported Bus Services,204160,165000  ,Grants to Voluntary Bodies,990,Expense
Northumberland County Council,http://statistics.data.gov.uk/doc/local-authority/35,ADAPT,154992,06-Nov-14,Children's and Education Services,  Home to School Transport,204120,136000  ,Pupils - Travel,"2,147.40",Expense
Northumberland County Council,http://statistics.data.gov.uk/doc/local-authority/35,ADAPT,154906,12-Nov-14,Highways and Transport Services,  Supported Bus Services,204160,136002  ,Support - rural bus routes,351.5,Expense
Northumberland County Council,http://statistics.data.gov.uk/doc/local-authority/35,ADAPT,154902,06-Nov-14,Children's and Education Services,  Home to School Transport,204120,136000  ,Pupils - Travel,"2,417.40",Expense
Northumberland County Council,http://statistics.data.gov.uk/doc/local-authority/35,ADAPT,154910,12-Nov-14,Highways and Transport Services,  Supported Bus Services,204160,136002  ,Support - rural bus routes,"3,627.00",Expense
Northumberland County Council,http://statistics.data.gov.uk/doc/local-authority/35,ADAPT,154912,17-Nov-14,Highways and Transport Services,  Supported Bus Services,204160,165000  ,Grants to Voluntary Bodies,420,Expense
Northumberland County Council,http://statistics.data.gov.uk/doc/local-authority/35,ADAPT,154913,17-Nov-14,Highways and Transport Services,  Supported Bus Services,204160,165000  ,Grants to Voluntary Bodies,400,Expense
Northumberland County Council,http://statistics.data.gov.uk/doc/local-authority/35,ADAPT,154898,06-Nov-14,Highways and Transport Services,  SEN Transport,204190,136000  ,Pupils - Travel,"2,333.52",Expense
Northumberland County Council,http://statistics.data.gov.uk/doc/local-authority/35,ADAPT,154900,06-Nov-14,Highways and Transport Services,  SEN Transport,204190,136000  ,Pupils - Travel,"2,155.68",Expense
Northumberland County Council,http://statistics.data.gov.uk/doc/local-authority/35,ADAPT,187321,24-Nov-14,Highways and Transport Services,  SEN Transport,204190,136000  ,Pupils - Travel,"1,971.00",Expense
Northumberland County Council,http://statistics.data.gov.uk/doc/local-authority/35,ADAPT,157035,06-Nov-14,Adult Social Care,  CHC Packages,306420,167002  ,Other Independent Care,"2,080.00",Expense
Northumberland County Council,http://statistics.data.gov.uk/doc/local-authority/35,ADAPT,157039,06-Nov-14,Adult Social Care,  Block Contracts,303001,167012  ,Block Contracts,504.4,Expense
Northumberland County Council,http://statistics.data.gov.uk/doc/local-authority/35,ADAPT,157041,06-Nov-14,Adult Social Care,  Block Contracts,303001,167012  ,Block Contracts,259.2,Expense
Northumberland County Council,http://statistics.data.gov.uk/doc/local-authority/35,ADAPT,154993,06-Nov-14,Highways and Transport Services,  SEN Transport,204190,136000  ,Pupils - Travel,"2,250.00",Expense
Northumberland County Council,http://statistics.data.gov.uk/doc/local-authority/35,ADAPT,154915,12-Nov-14,Highways and Transport Services,  Supported Bus Services,204160,136002  ,Support - rural bus routes,281.2,Expense
Northumberland County Council,http://statistics.data.gov.uk/doc/local-authority/35,ADAPT,154990,12-Nov-14,Highways and Transport Services,  Supported Bus Services,204160,136002  ,Support - rural bus routes,351.5,Expense
Northumberland County Council,http://statistics.data.gov.uk/doc/local-authority/35,ADAPT,154999,06-Nov-14,Highways and Transport Services,  Concessionary Travel,204140,136001  ,Concessions to Bus Operators,270,Expense
Northumberland County Council,http://statistics.data.gov.uk/doc/local-authority/35,ADARE INSPIRED COMMUNICATIONS,168604,13-Nov-14,Central Services,  Electoral Registration,118001,143000  ,Printing & Stationery,"4,224.18",Expense
Northumberland County Council,http://statistics.data.gov.uk/doc/local-authority/35,ADARE INSPIRED COMMUNICATIONS,168602,13-Nov-14,Central Services,  Electoral Registration,118001,143000  ,Printing & Stationery,"1,272.60",Expense
Northumberland County Council,http://statistics.data.gov.uk/doc/local-authority/35,ADARE INSPIRED COMMUNICATIONS,177179,18-Nov-14,Central Services,  Electoral Registration,118001,146010  ,Election Expenses,"1,852.24",Expense
Northumberland County Council,http://statistics.data.gov.uk/doc/local-authority/35,ADARE INSPIRED COMMUNICATIONS,177181,18-Nov-14,Central Services,  Electoral Registration,118001,146010  ,Election Expenses,"5,295.64",Expense
Northumberland County Council,http://statistics.data.gov.uk/doc/local-authority/35,ADMEC,154517,05-Nov-14,Fixed Asset Account,  Fixed Asset Account,990120,500171  ,CIP - Infrastructure,"1,356.00",Revenue
Northumberland County Council,http://statistics.data.gov.uk/doc/local-authority/35,ADMEC,138882,06-Nov-14,Environmental and Regulatory Services,  NEAT Team West,217300,167021  ,Waste Disposal,310.8,Expense
Northumberland County Council,http://statistics.data.gov.uk/doc/local-authority/35,ADMEC,138880,06-Nov-14,Environmental and Regulatory Services,  NEAT Team North - Alnwick,217100,167021  ,Waste Disposal,378,Expense
Northumberland County Council,http://statistics.data.gov.uk/doc/local-authority/35,ADMEC,167416,27-Nov-14,Environmental and Regulatory Services,  NEAT Team West,217300,167021  ,Waste Disposal,273.6,Expense
Northumberland County Council,http://statistics.data.gov.uk/doc/local-authority/35,ADT FIRE AND SECURITY,188633,25-Nov-14,Central Services,  County Hall Running Costs (6250),295060,110000  ,Building Maintenance - Structural - Planned,848.42,Expense
Northumberland County Council,http://statistics.data.gov.uk/doc/local-authority/35,ADT FIRE AND SECURITY,188634,25-Nov-14,Highways and Transport Services,  Alnwick Willowburn,200810,110000  ,Building Maintenance - Structural - Planned,550.94,Expense
Northumberland County Council,http://statistics.data.gov.uk/doc/local-authority/35,ADT FIRE AND SECURITY,188635,25-Nov-14,Highways and Transport Services,  Bearl,200870,110000  ,Building Maintenance - Structural - Planned,548.7,Expense
Northumberland County Council,http://statistics.data.gov.uk/doc/local-authority/35,ADT FIRE AND SECURITY,188638,25-Nov-14,Central Services,  Cramlington Customer Serv Off - Running Costs,294944,110000  ,Building Maintenance - Structural - Planned,553.84,Expense
Northumberland County Council,http://statistics.data.gov.uk/doc/local-authority/35,ADT FIRE AND SECURITY,187033,24-Nov-14,Central Services,  County Hall Running Costs (6250),295060,110000  ,Building Maintenance - Structural - Planned,630.17,Expense
Northumberland County Council,http://statistics.data.gov.uk/doc/local-authority/35,ADT FIRE AND SECURITY,187039,24-Nov-14,Central Services,  Council Offices Berwick - Running Costs,294954,110000  ,Building Maintenance - Structural - Planned,671.39,Expense
Northumberland County Council,http://statistics.data.gov.uk/doc/local-authority/35,ADT FIRE AND SECURITY,187054,24-Nov-14,Children's and Education Services,  Netherton Admin,17004,110000  ,Building Maintenance - Structural - Planned,361.53,Expense
Northumberland County Council,http://statistics.data.gov.uk/doc/local-authority/35,ADT FIRE AND SECURITY,187055,24-Nov-14,Children's and Education Services,  Beaconhill Children's Admin Office,26000,110000  ,Building Maintenance - Structural - Planned,407.85,Expense
Northumberland County Council,http://statistics.data.gov.uk/doc/local-authority/35,ADT FIRE AND SECURITY,187062,24-Nov-14,Environmental and Regulatory Services,  Morpeth Depot - Depot Running Costs,225410,110000  ,Building Maintenance - Structural - Planned,272.74,Expense
Northumberland County Council,http://statistics.data.gov.uk/doc/local-authority/35,ADT FIRE AND SECURITY,187068,24-Nov-14,Central Services,  Schools SLA Statutory Maintenance,128050,110000  ,Building Maintenance - Structural - Planned,926.7,Expense
Northumberland County Council,http://statistics.data.gov.uk/doc/local-authority/35,ADT FIRE AND SECURITY,187069,24-Nov-14,Central Services,  Schools SLA Statutory Maintenance,128050,110000  ,Building Maintenance - Structural - Planned,274.18,Expense
Northumberland County Council,http://statistics.data.gov.uk/doc/local-authority/35,ADT FIRE AND SECURITY,187070,24-Nov-14,Central Services,  Schools SLA Statutory Maintenance,128050,110000  ,Building Maintenance - Structural - Planned,263.33,Expense
Northumberland County Council,http://statistics.data.gov.uk/doc/local-authority/35,ADT FIRE AND SECURITY,187071,24-Nov-14,Central Services,  Schools SLA Statutory Maintenance,128050,110000  ,Building Maintenance - Structural - Planned,278.58,Expense
Northumberland County Council,http://statistics.data.gov.uk/doc/local-authority/35,ADT FIRE AND SECURITY,187072,24-Nov-14,Central Services,  Schools SLA Statutory Maintenance,128050,110000  ,Building Maintenance - Structural - Planned,284.04,Expense
Northumberland County Council,http://statistics.data.gov.uk/doc/local-authority/35,ADT FIRE AND SECURITY,187073,24-Nov-14,Central Services,  Schools SLA Statutory Maintenance,128050,110000  ,Building Maintenance - Structural - Planned,415.89,Expense
Northumberland County Council,http://statistics.data.gov.uk/doc/local-authority/35,ADT FIRE AND SECURITY,187075,24-Nov-14,Fire and Rescue Services,  Fire & Rescue Services Admin Centre,30100,110000  ,Building Maintenance - Structural - Planned,843.34,Expense
Northumberland County Council,http://statistics.data.gov.uk/doc/local-authority/35,ADT FIRE AND SECURITY,187079,24-Nov-14,Central Services,  Schools SLA Statutory Maintenance,128050,110000  ,Building Maintenance - Structural - Planned,288.47,Expense
Northumberland County Council,http://statistics.data.gov.uk/doc/local-authority/35,ADT FIRE AND SECURITY,187093,24-Nov-14,Central Services,  Schools SLA Statutory Maintenance,128050,110000  ,Building Maintenance - Structural - Planned,299.71,Expense
Northumberland County Council,http://statistics.data.gov.uk/doc/local-authority/35,ADT FIRE AND SECURITY,187094,24-Nov-14,Central Services,  Schools SLA Statutory Maintenance,128050,110000  ,Building Maintenance - Structural - Planned,251.45,Expense
Northumberland County Council,http://statistics.data.gov.uk/doc/local-authority/35,ADT FIRE AND SECURITY,187100,24-Nov-14,Adult Social Care,  Dene Park Office Accommodation,300280,110000  ,Building Maintenance - Structural - Planned,376.5,Expense
Northumberland County Council,http://statistics.data.gov.uk/doc/local-authority/35,ADT FIRE AND SECURITY,187106,24-Nov-14,Environmental and Regulatory Services,  Blyth Depot - Depot Running Costs,225610,110000  ,Building Maintenance - Structural - Planned,337.72,Expense
Northumberland County Council,http://statistics.data.gov.uk/doc/local-authority/35,ADT FIRE AND SECURITY,187108,24-Nov-14,Environmental and Regulatory Services,  Cemetery Services South East,219200,110000  ,Building Maintenance - Structural - Planned,298.63,Expense
Northumberland County Council,http://statistics.data.gov.uk/doc/local-authority/35,ADT FIRE AND SECURITY,187111,24-Nov-14,Central Services,  Schools SLA Statutory Maintenance,128050,110000  ,Building Maintenance - Structural - Planned,361.1,Expense
Northumberland County Council,http://statistics.data.gov.uk/doc/local-authority/35,ADT FIRE AND SECURITY,187112,24-Nov-14,Cultural and Related Services,  Ashington Leisure Centre,249570,110000  ,Building Maintenance - Structural - Planned,303.09,Expense
Northumberland County Council,http://statistics.data.gov.uk/doc/local-authority/35,ADT FIRE AND SECURITY,187113,24-Nov-14,Cultural and Related Services,  Morpeth Chantry,250390,110000  ,Building Maintenance - Structural - Planned,301.07,Expense
Northumberland County Council,http://statistics.data.gov.uk/doc/local-authority/35,ADT FIRE AND SECURITY,187125,24-Nov-14,Cultural and Related Services,  County Library Service,252020,110000  ,Building Maintenance - Structural - Planned,281.3,Expense
Northumberland County Council,http://statistics.data.gov.uk/doc/local-authority/35,ADT FIRE AND SECURITY,187127,24-Nov-14,Environmental and Regulatory Services,  Hexham Depot - Depot Running Costs,225510,110000  ,Building Maintenance - Structural - Planned,581.66,Expense
