"Supplier Payments, where a specific charge is £250 or greater.",,,,,,,,,,,
Period 1-May-14 to 31-May-14,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Authority,,Vendor Name,Invoice,Payment ,Service Responsible for Spend,Service,Cost,Subjective,Subjective,Amount Exc,Type
Northumberland County Council,http://statistics.data.gov.uk/doc/local-authority/35,ABERWICKE RESIDENTIAL HOME,5273926,13-May-14,Adult Social Care ,  LD North - LN1A1,306152,3359  ,Residential Care,"2,370.03",Expense
Northumberland County Council,http://statistics.data.gov.uk/doc/local-authority/35,ABF THE SOLDIERS' CHARITY,5288063,23-May-14,Planning Services ,  Locality Development,103001,3180  ,Grants to Voluntary Bodies,"1,450.00",Expense
Northumberland County Council,http://statistics.data.gov.uk/doc/local-authority/35,ABOUT ME CARE AND SUPPORT LTD,5293360,29-May-14,Adult Social Care ,  Older PDI South - PSLTB - One,306409,3360  ,Homecare,282.6,Expense
Northumberland County Council,http://statistics.data.gov.uk/doc/local-authority/35,ABOUT ME CARE AND SUPPORT LTD,5293362,29-May-14,Adult Social Care ,  Older PDI South - PSLTC - Two,306410,3360  ,Homecare,"1,165.20",Expense
Northumberland County Council,http://statistics.data.gov.uk/doc/local-authority/35,ABOUT ME CARE AND SUPPORT LTD,5293357,29-May-14,Adult Social Care ,  Older PDI Central - PCLB1 - Two,306401,3360  ,Homecare,486.25,Expense
Northumberland County Council,http://statistics.data.gov.uk/doc/local-authority/35,AB AUTOS,5264747,08-May-14,Regional Growth Fund,  Regional Growth Fund,991220,8743  ,Partnership Development Projects,589.6,Expense
Northumberland County Council,http://statistics.data.gov.uk/doc/local-authority/35,ACCESS CONTRACTING LIMITED,5275211,14-May-14,Central Services - Other Operating Income & Expenditure,  Property SLA Recharges - Blyth CC,128042,1501  ,Building Maintenance - Structural - Planned - Centrally Funded,354,Expense
Northumberland County Council,http://statistics.data.gov.uk/doc/local-authority/35,ACCESS CONTRACTING LIMITED,5275210,14-May-14,Central Services - Other Operating Income and Expenditure ,  Schools SLA Statutory Maintenance,128050,1501  ,Building Maintenance - Structural - Planned - Centrally Funded,595,Expense
Northumberland County Council,http://statistics.data.gov.uk/doc/local-authority/35,ACOMB COURT CARE HOME,5268598,09-May-14,Adult Social Care ,  Older MH West - PWMH1,306414,3359  ,Residential Care,"2,997.27",Expense
Northumberland County Council,http://statistics.data.gov.uk/doc/local-authority/35,ACOMB COURT CARE HOME,5281288,16-May-14,Adult Social Care ,  Older PDI West - PWLTH - One,306412,3357  ,Care Homes with Nursing,"3,729.12",Expense
Northumberland County Council,http://statistics.data.gov.uk/doc/local-authority/35,ACOMB COURT CARE HOME,5281288,16-May-14,Adult Social Care ,  Older PDI West - PWLTH - One,306412,3359  ,Residential Care,"1,864.56",Expense
Northumberland County Council,http://statistics.data.gov.uk/doc/local-authority/35,ACOMB COURT CARE HOME,5281288,16-May-14,Adult Social Care ,  Older MH West - PWMH1,306414,3359  ,Residential Care,"3,749.88",Expense
Northumberland County Council,http://statistics.data.gov.uk/doc/local-authority/35,ACOMB COURT CARE HOME,5281288,16-May-14,Adult Social Care,  F.N.C.,306421,3357  ,Care Homes with Nursing,887.12,Expense
Northumberland County Council,http://statistics.data.gov.uk/doc/local-authority/35,ACOMB COURT CARE HOME,5281289,16-May-14,Adult Social Care ,  Older PDI West - PWLTP - Two,306413,3357  ,Care Homes with Nursing,"2,064.33",Expense
Northumberland County Council,http://statistics.data.gov.uk/doc/local-authority/35,ACOMB COURT CARE HOME,5281289,16-May-14,Adult Social Care,  CHC Packages,306420,3357  ,Care Homes with Nursing,"2,637.84",Expense
Northumberland County Council,http://statistics.data.gov.uk/doc/local-authority/35,ACOMB COURT CARE HOME,5281289,16-May-14,Adult Social Care,  F.N.C.,306421,3357  ,Care Homes with Nursing,491.08,Expense
Northumberland County Council,http://statistics.data.gov.uk/doc/local-authority/35,ACOMB COURT CARE HOME,5281290,16-May-14,Adult Social Care ,  LD West - LW1H1,306154,3357  ,Care Homes with Nursing,"1,864.56",Expense
Northumberland County Council,http://statistics.data.gov.uk/doc/local-authority/35,ACOMB COURT CARE HOME,5281290,16-May-14,Adult Social Care ,  Older PDI West - PWLTH - One,306412,3357  ,Care Homes with Nursing,"7,458.24",Expense
Northumberland County Council,http://statistics.data.gov.uk/doc/local-authority/35,ACOMB COURT CARE HOME,5281290,16-May-14,Adult Social Care ,  Older PDI West - PWLTH - One,306412,3359  ,Residential Care,"1,864.56",Expense
Northumberland County Council,http://statistics.data.gov.uk/doc/local-authority/35,ACOMB COURT CARE HOME,5281290,16-May-14,Adult Social Care ,  Older MH West - PWMH1,306414,3357  ,Care Homes with Nursing,"1,864.56",Expense
Northumberland County Council,http://statistics.data.gov.uk/doc/local-authority/35,ACOMB COURT CARE HOME,5281290,16-May-14,Adult Social Care ,  Older MH West - PWMH1,306414,3359  ,Residential Care,"1,864.56",Expense
Northumberland County Council,http://statistics.data.gov.uk/doc/local-authority/35,ACOMB COURT CARE HOME,5281290,16-May-14,Adult Social Care,  F.N.C.,306421,3357  ,Care Homes with Nursing,"2,661.36",Expense
Northumberland County Council,http://statistics.data.gov.uk/doc/local-authority/35,ACOMB COURT CARE HOME,5281291,16-May-14,Adult Social Care ,  Older PDI West - PWLTP - Two,306413,3359  ,Residential Care,998.87,Expense
Northumberland County Council,http://statistics.data.gov.uk/doc/local-authority/35,ACOMB COURT CARE HOME,5281292,16-May-14,Adult Social Care ,  Older PDI West - PWLTH - One,306412,3359  ,Residential Care,"3,729.12",Expense
Northumberland County Council,http://statistics.data.gov.uk/doc/local-authority/35,ACOMB COURT CARE HOME,5281292,16-May-14,Adult Social Care ,  Older PDI West - PWLTP - Two,306413,3359  ,Residential Care,"1,864.56",Expense
Northumberland County Council,http://statistics.data.gov.uk/doc/local-authority/35,ACOMB COURT CARE HOME,5281292,16-May-14,Adult Social Care ,  Older MH West - PWMH1,306414,3357  ,Care Homes with Nursing,"1,864.56",Expense
Northumberland County Council,http://statistics.data.gov.uk/doc/local-authority/35,ACOMB COURT CARE HOME,5281292,16-May-14,Adult Social Care ,  Older MH West - PWMH1,306414,3359  ,Residential Care,"5,635.20",Expense
Northumberland County Council,http://statistics.data.gov.uk/doc/local-authority/35,ACOMB COURT CARE HOME,5281292,16-May-14,Adult Social Care,  F.N.C.,306421,3357  ,Care Homes with Nursing,443.56,Expense
Northumberland County Council,http://statistics.data.gov.uk/doc/local-authority/35,ACOMB COURT CARE HOME,5281293,16-May-14,Adult Social Care ,  Older PDI West - PWLTH - One,306412,3357  ,Care Homes with Nursing,"1,864.56",Expense
Northumberland County Council,http://statistics.data.gov.uk/doc/local-authority/35,ACOMB COURT CARE HOME,5281293,16-May-14,Adult Social Care ,  Older PDI West - PWLTP - Two,306413,3357  ,Care Homes with Nursing,"1,864.56",Expense
Northumberland County Council,http://statistics.data.gov.uk/doc/local-authority/35,ACOMB COURT CARE HOME,5281293,16-May-14,Adult Social Care ,  Older MH West - PWMH1,306414,3357  ,Care Homes with Nursing,"1,864.56",Expense
Northumberland County Council,http://statistics.data.gov.uk/doc/local-authority/35,ACOMB COURT CARE HOME,5281293,16-May-14,Adult Social Care ,  Older MH West - PWMH1,306414,3359  ,Residential Care,"5,635.20",Expense
Northumberland County Council,http://statistics.data.gov.uk/doc/local-authority/35,ACOMB COURT CARE HOME,5281293,16-May-14,Adult Social Care,  F.N.C.,306421,3357  ,Care Homes with Nursing,"1,330.68",Expense
Northumberland County Council,http://statistics.data.gov.uk/doc/local-authority/35,ACOMB COURT CARE HOME,5281294,16-May-14,Adult Social Care,  CHC Packages,306420,3357  ,Care Homes with Nursing,"2,308.12",Expense
Northumberland County Council,http://statistics.data.gov.uk/doc/local-authority/35,ACOMB COURT CARE HOME,5281295,16-May-14,Adult Social Care,  F.N.C.,306421,3357  ,Care Homes with Nursing,443.56,Expense
Northumberland County Council,http://statistics.data.gov.uk/doc/local-authority/35,ACOMB COURT CARE HOME,5281296,16-May-14,Adult Social Care,  CHC Packages,306420,3357  ,Care Homes with Nursing,"2,308.12",Expense
Northumberland County Council,http://statistics.data.gov.uk/doc/local-authority/35,ACOMB COURT CARE HOME,5281296,16-May-14,Adult Social Care,  F.N.C.,306421,3357  ,Care Homes with Nursing,"2,217.80",Expense
Northumberland County Council,http://statistics.data.gov.uk/doc/local-authority/35,ACOMB COURT CARE HOME,5286865,22-May-14,Adult Social Care,  CHC Packages,306420,3357  ,Care Homes with Nursing,741.89,Expense
Northumberland County Council,http://statistics.data.gov.uk/doc/local-authority/35,ACTION FOR CHILDREN SERVICES LIMITED,5284498,22-May-14,Childrens Social Care ,  FACT Teams Disability,15006,3361  ,Day Care,320,Expense
Northumberland County Council,http://statistics.data.gov.uk/doc/local-authority/35,ACTION FOR CHILDREN SERVICES LIMITED,5284500,22-May-14,Childrens Social Care ,  FACT Teams Disability,15006,3361  ,Day Care,360,Expense
Northumberland County Council,http://statistics.data.gov.uk/doc/local-authority/35,ACTION FOR CHILDREN SERVICES LIMITED,5284502,22-May-14,Childrens Social Care ,  FACT Teams Disability,15006,3361  ,Day Care,660,Expense
Northumberland County Council,http://statistics.data.gov.uk/doc/local-authority/35,ACTION FOR CHILDREN SERVICES LIMITED,5272465,13-May-14,Education Services ,  Funding for 3 and 4 Year Old Children,24018,3251  ,Other Contributions,"6,786.00",Expense
Northumberland County Council,http://statistics.data.gov.uk/doc/local-authority/35,ACTION FOR CHILDREN SERVICES LIMITED,5273621,13-May-14,Education Services ,  Free Early Learning and Childcare (2Year Olds) Grant,24022,3251  ,Other Contributions,"1,530.00",Expense
Northumberland County Council,http://statistics.data.gov.uk/doc/local-authority/35,ACTION FOR CHILDREN SERVICES LIMITED,5273638,13-May-14,Education Services ,  Free Early Learning and Childcare (2Year Olds) Grant,24022,3251  ,Other Contributions,"3,442.50",Expense
Northumberland County Council,http://statistics.data.gov.uk/doc/local-authority/35,ACTION FOR CHILDREN SERVICES LIMITED,5273995,13-May-14,Education Services ,  Free Early Learning and Childcare (2Year Olds) Grant,24022,3251  ,Other Contributions,"1,530.00",Expense
Northumberland County Council,http://statistics.data.gov.uk/doc/local-authority/35,ACTION FOR CHILDREN SERVICES LIMITED,5274030,13-May-14,Education Services ,  Free Early Learning and Childcare (2Year Olds) Grant,24022,3251  ,Other Contributions,"5,737.50",Expense
Northumberland County Council,http://statistics.data.gov.uk/doc/local-authority/35,ACTION FOR CHILDREN SERVICES LIMITED,5290444,27-May-14,Childrens Social Care ,  Family Placement Service,17012,4103  ,Other Placement Costs,750,Expense
Northumberland County Council,http://statistics.data.gov.uk/doc/local-authority/35,ACTION FOR CHILDREN SERVICES LIMITED,5297473,30-May-14,Childrens Social Care ,  Family Placement Service,17012,4103  ,Other Placement Costs,750,Expense
Northumberland County Council,http://statistics.data.gov.uk/doc/local-authority/35,ACTION FOR CHILDREN SERVICES LIMITED,5290178,27-May-14,Education Services ,  Ashington Sure Start,9302,3251  ,Other Contributions,"158,588.05",Expense
Northumberland County Council,http://statistics.data.gov.uk/doc/local-authority/35,ACTION FOR CHILDREN SERVICES LIMITED,5290178,27-May-14,Education Services ,  Newbiggin Childrens Centre,9304,3251  ,Other Contributions,"70,260.53",Expense
Northumberland County Council,http://statistics.data.gov.uk/doc/local-authority/35,ACTION FOR CHILDREN SERVICES LIMITED,5290178,27-May-14,Education Services ,  Bedlington Sure Start Local Programme,9410,3251  ,Other Contributions,"83,911.15",Expense
Northumberland County Council,http://statistics.data.gov.uk/doc/local-authority/35,ACTION FOR CHILDREN SERVICES LIMITED,5290178,27-May-14,Education Services ,  Choppington Sure Start Local Programme,9411,3251  ,Other Contributions,"38,944.41",Expense
Northumberland County Council,http://statistics.data.gov.uk/doc/local-authority/35,ACTION FOR CHILDREN SERVICES LIMITED,5290178,27-May-14,Education Services ,  Morpeth Childrens Centre,9412,3251  ,Other Contributions,"32,520.59",Expense
Northumberland County Council,http://statistics.data.gov.uk/doc/local-authority/35,ACTION FOR CHILDREN SERVICES LIMITED,5290178,27-May-14,Education Services ,  Pegswood Childrens Centre,9413,3251  ,Other Contributions,"17,264.02",Expense
Northumberland County Council,http://statistics.data.gov.uk/doc/local-authority/35,ACTION GROUP,5271227,12-May-14,Housing General Fund ,  Adaptations,245060,7171  ,Admin Charge,-44.94,Revenue
Northumberland County Council,http://statistics.data.gov.uk/doc/local-authority/35,ACTION GROUP,5271227,12-May-14,Fixed Asset Account,  Fixed Asset Account,990120,8433  ,CIP  - land and Buildings,494.37,Asset
Northumberland County Council,http://statistics.data.gov.uk/doc/local-authority/35,ACT NOW TRAINING LTD,5234166,06-May-14,Central Services - Other Operating Income and Expenditure ,  Information and Applications - Management,127200,2634  ,Provision of Early Years Training,"1,495.00",Expense
Northumberland County Council,http://statistics.data.gov.uk/doc/local-authority/35,ADAPT,5261813,06-May-14,Rural Growth Network,  Rural Growth Network,990348,8844  ,RGN - Rural Growth Network,"12,265.44",Expense
Northumberland County Council,http://statistics.data.gov.uk/doc/local-authority/35,ADAPT,5284163,21-May-14,Education Services ,  Home to School Transport,204120,2095  ,Pupils - Travel,"1,171.00",Expense
Northumberland County Council,http://statistics.data.gov.uk/doc/local-authority/35,ADAPT,5284158,21-May-14,Education Services ,  Home to School Transport,204120,2095  ,Pupils - Travel,"1,193.00",Expense
Northumberland County Council,http://statistics.data.gov.uk/doc/local-authority/35,ADAPT,5284177,21-May-14,Highways and Transport Services ,  Supported Bus Services,204160,2204  ,Support - rural bus routes,351.5,Expense
Northumberland County Council,http://statistics.data.gov.uk/doc/local-authority/35,ADAPT,5284153,21-May-14,Education Services ,  Home to School Transport,204120,2095  ,Pupils - Travel,"1,803.45",Expense
Northumberland County Council,http://statistics.data.gov.uk/doc/local-authority/35,ADAPT,5284134,21-May-14,Education Services ,  Home to School Transport,204120,2095  ,Pupils - Travel,539.44,Expense
Northumberland County Council,http://statistics.data.gov.uk/doc/local-authority/35,ADAPT,5284146,21-May-14,Highways and Transport Services ,  SEN Transport,204190,2095  ,Pupils - Travel,"1,182.64",Expense
Northumberland County Council,http://statistics.data.gov.uk/doc/local-authority/35,ADAPT,5284142,21-May-14,Highways and Transport Services ,  SEN Transport,204190,2095  ,Pupils - Travel,"1,197.60",Expense
Northumberland County Council,http://statistics.data.gov.uk/doc/local-authority/35,ADAPT,5284136,21-May-14,Highways and Transport Services ,  SEN Transport,204190,2095  ,Pupils - Travel,"1,095.00",Expense
Northumberland County Council,http://statistics.data.gov.uk/doc/local-authority/35,ADAPT,5284165,23-May-14,Highways and Transport Services ,  SEN Transport,204190,2095  ,Pupils - Travel,"2,750.00",Expense
Northumberland County Council,http://statistics.data.gov.uk/doc/local-authority/35,ADAPT,5284187,22-May-14,Highways and Transport Services ,  Supported Bus Services,204160,2204  ,Support - rural bus routes,351.5,Expense
Northumberland County Council,http://statistics.data.gov.uk/doc/local-authority/35,ADAPT,5284191,22-May-14,Highways and Transport Services ,  Supported Bus Services,204160,2204  ,Support - rural bus routes,351.5,Expense
Northumberland County Council,http://statistics.data.gov.uk/doc/local-authority/35,ADAPT,5284209,22-May-14,Highways and Transport Services ,  Supported Bus Services,204160,2204  ,Support - rural bus routes,"3,110.00",Expense
Northumberland County Council,http://statistics.data.gov.uk/doc/local-authority/35,ADAPT,5284236,22-May-14,Highways and Transport Services ,  Supported Bus Services,204160,3180  ,Grants to Voluntary Bodies,666.45,Expense
Northumberland County Council,http://statistics.data.gov.uk/doc/local-authority/35,ADAPT,5284240,22-May-14,Highways and Transport Services ,  Supported Bus Services,204160,3180  ,Grants to Voluntary Bodies,770,Expense
Northumberland County Council,http://statistics.data.gov.uk/doc/local-authority/35,ADAPT,5280120,16-May-14,Adult Social Care,  CHC Packages,306420,3352  ,Other Independent Care,"1,880.00",Expense
Northumberland County Council,http://statistics.data.gov.uk/doc/local-authority/35,ADARE INSPIRED COMMUNICATIONS,5290427,27-May-14,Central Services - Central Services to the Public ,  European Elections,118004,2580  ,Printing & Stationery,"32,166.86",Expense
Northumberland County Council,http://statistics.data.gov.uk/doc/local-authority/35,ADARE INSPIRED COMMUNICATIONS,5290427,27-May-14,Central Services - Central Services to the Public ,  European Elections,118004,2580  ,Printing & Stationery,360,Expense
Northumberland County Council,http://statistics.data.gov.uk/doc/local-authority/35,ADARE INSPIRED COMMUNICATIONS,5290427,27-May-14,Central Services - Central Services to the Public ,  European Elections,118004,2580  ,Printing & Stationery,"11,688.93",Expense
Northumberland County Council,http://statistics.data.gov.uk/doc/local-authority/35,ADCS,5283151,20-May-14,Education Services ,  Director Child Services,24001,0850  ,Staff Training & Development,"3,135.00",Expense
Northumberland County Council,http://statistics.data.gov.uk/doc/local-authority/35,ADOPTION UK,5268572,09-May-14,Childrens Social Care ,  Wansbeck FACT,16016,4103  ,Other Placement Costs,550,Expense
Northumberland County Council,http://statistics.data.gov.uk/doc/local-authority/35,ADOPTION UK,5281565,20-May-14,Childrens Social Care ,  Family Placement Service,17012,4103  ,Other Placement Costs,426.75,Expense
Northumberland County Council,http://statistics.data.gov.uk/doc/local-authority/35,ADOPTION UK,5281566,20-May-14,Childrens Social Care ,  Family Placement Service,17012,4103  ,Other Placement Costs,538.88,Expense
Northumberland County Council,http://statistics.data.gov.uk/doc/local-authority/35,ADOPTION UK,5281567,20-May-14,Childrens Social Care ,  Family Placement Service,17012,4103  ,Other Placement Costs,426.75,Expense
Northumberland County Council,http://statistics.data.gov.uk/doc/local-authority/35,ADOPTION UK,5263234,29-May-14,Childrens Social Care ,  Family Placement Service,17012,4103  ,Other Placement Costs,"1,216.50",Expense
Northumberland County Council,http://statistics.data.gov.uk/doc/local-authority/35,ADOPTION UK,5263233,08-May-14,Childrens Social Care ,  Family Placement Service,17012,4103  ,Other Placement Costs,435,Expense
Northumberland County Council,http://statistics.data.gov.uk/doc/local-authority/35,ADOPTION UK,5281562,20-May-14,Childrens Social Care ,  Family Placement Service,17012,4103  ,Other Placement Costs,426.75,Expense
Northumberland County Council,http://statistics.data.gov.uk/doc/local-authority/35,ADOPTION UK,5281563,20-May-14,Childrens Social Care ,  Family Placement Service,17012,4103  ,Other Placement Costs,538.88,Expense
Northumberland County Council,http://statistics.data.gov.uk/doc/local-authority/35,ADOPTION UK,5281564,20-May-14,Childrens Social Care ,  Family Placement Service,17012,4103  ,Other Placement Costs,426.75,Expense
Northumberland County Council,http://statistics.data.gov.uk/doc/local-authority/35,ADVANCED LEGAL SOLUTIONS LIMITED,5283678,21-May-14,Central Services - Central Services to the Public ,  Coroners,117001,2705  ,Computer software - annual licence agreement,"4,930.00",Expense
Northumberland County Council,http://statistics.data.gov.uk/doc/local-authority/35,ADVANCED NETWORK SECURITY LIMITED,5229903,01-May-14,Central Services - Other Operating Income and Expenditure ,  Infrastructure - Management,127300,2705  ,Computer software - annual licence agreement,"8,276.40",Expense
Northumberland County Council,http://statistics.data.gov.uk/doc/local-authority/35,ADVANCED TAXIS,5263096,07-May-14,Education Services ,  Home to School Transport,204120,2095  ,Pupils - Travel,715.2,Expense
Northumberland County Council,http://statistics.data.gov.uk/doc/local-authority/35,ADVANCED TAXIS,5263098,13-May-14,Education Services ,  Home to School Transport,204120,2095  ,Pupils - Travel,"1,559.58",Expense
Northumberland County Council,http://statistics.data.gov.uk/doc/local-authority/35,ADVANCED TAXIS,5263101,07-May-14,Education Services ,  Home to School Transport,204120,2095  ,Pupils - Travel,921.91,Expense
Northumberland County Council,http://statistics.data.gov.uk/doc/local-authority/35,ADVANCED TAXIS,5263105,07-May-14,Education Services ,  Home to School Transport,204120,2095  ,Pupils - Travel,440,Expense
Northumberland County Council,http://statistics.data.gov.uk/doc/local-authority/35,ADVANCED TAXIS,5263108,08-May-14,Education Services ,  Home to School Transport,204120,2095  ,Pupils - Travel,539,Expense
Northumberland County Council,http://statistics.data.gov.uk/doc/local-authority/35,ADVANCED TAXIS,5264410,07-May-14,Education Services ,  Home to School Transport,204120,2095  ,Pupils - Travel,649,Expense
Northumberland County Council,http://statistics.data.gov.uk/doc/local-authority/35,ADVANCED TAXIS,5264417,13-May-14,Education Services ,  Home to School Transport,204120,2095  ,Pupils - Travel,"1,467.07",Expense
Northumberland County Council,http://statistics.data.gov.uk/doc/local-authority/35,ADVANCED TAXIS,5271537,12-May-14,Education Services ,  Home to School Transport,204120,2095  ,Pupils - Travel,649,Expense
Northumberland County Council,http://statistics.data.gov.uk/doc/local-authority/35,ADVOCATE EDUCATION,5255194,13-May-14,Education Services ,  Targeted Adolescent Service - Accommodation,11056,4116  ,Supported Accommodation,"1,559.37",Expense
Northumberland County Council,http://statistics.data.gov.uk/doc/local-authority/35,ADVOCATE EDUCATION,5255195,13-May-14,Education Services ,  Targeted Adolescent Service - Accommodation,11056,4116  ,Supported Accommodation,"1,508.58",Expense
Northumberland County Council,http://statistics.data.gov.uk/doc/local-authority/35,AECOM LTD,5298139,30-May-14,Fixed Asset Account,  Fixed Asset Account,990120,8432  ,CIP  - Infrastructure,"2,655.00",Asset
Northumberland County Council,http://statistics.data.gov.uk/doc/local-authority/35,AECOM LTD,5297251,29-May-14,Fixed Asset Account,  Fixed Asset Account,990120,8432  ,CIP  - Infrastructure,"6,258.00",Asset
Northumberland County Council,http://statistics.data.gov.uk/doc/local-authority/35,AESICA PHARMACEUTICALS LIMITED,5292916,29-May-14,Regional Growth Fund,  Regional Growth Fund,991220,8743  ,Partnership Development Projects,"1,332.50",Expense
Northumberland County Council,http://statistics.data.gov.uk/doc/local-authority/35,AGE UK NORTHUMBERLAND,5283510,21-May-14,Adult Social Care ,  LD Central - LC1M1 - One,306150,3360  ,Homecare,"2,209.90",Expense
Northumberland County Council,http://statistics.data.gov.uk/doc/local-authority/35,AGE UK NORTHUMBERLAND,5283510,21-May-14,Adult Social Care ,  LD North - LN1A1,306152,3360  ,Homecare,441.21,Expense
Northumberland County Council,http://statistics.data.gov.uk/doc/local-authority/35,AGE UK NORTHUMBERLAND,5283510,21-May-14,Adult Social Care ,  LD South - LS1B1,306153,3360  ,Homecare,213.63,Expense
Northumberland County Council,http://statistics.data.gov.uk/doc/local-authority/35,AGE UK NORTHUMBERLAND,5283510,21-May-14,Adult Social Care ,  Older PDI Central - PCLB1 - Two,306401,3360  ,Homecare,"7,852.86",Expense
Northumberland County Council,http://statistics.data.gov.uk/doc/local-authority/35,AGE UK NORTHUMBERLAND,5283510,21-May-14,Adult Social Care ,  Older PDI Central - PCLA1,306402,3360  ,Homecare,"14,496.02",Expense
Northumberland County Council,http://statistics.data.gov.uk/doc/local-authority/35,AGE UK NORTHUMBERLAND,5283510,21-May-14,Adult Social Care ,  Older MH Central - PCMM1- Two,306404,3360  ,Homecare,"8,248.09",Expense
Northumberland County Council,http://statistics.data.gov.uk/doc/local-authority/35,AGE UK NORTHUMBERLAND,5283510,21-May-14,Adult Social Care ,  Older Pdi North - PNLTA,306405,3360  ,Homecare,"14,328.54",Expense
Northumberland County Council,http://statistics.data.gov.uk/doc/local-authority/35,AGE UK NORTHUMBERLAND,5283510,21-May-14,Adult Social Care ,  Older Pdi North - PNLTB,306406,3360  ,Homecare,25.2,Expense
Northumberland County Council,http://statistics.data.gov.uk/doc/local-authority/35,AGE UK NORTHUMBERLAND,5283510,21-May-14,Adult Social Care ,  Older MH North - PNMB1 - Two,306408,3360  ,Homecare,"4,322.45",Expense
Northumberland County Council,http://statistics.data.gov.uk/doc/local-authority/35,AGE UK NORTHUMBERLAND,5283510,21-May-14,Adult Social Care ,  Older PDI South - PSLTC - Two,306410,3360  ,Homecare,111.22,Expense
Northumberland County Council,http://statistics.data.gov.uk/doc/local-authority/35,AGE UK NORTHUMBERLAND,5283510,21-May-14,Adult Social Care ,  Older MH South - PSMB1,306411,3360  ,Homecare,50.4,Expense
Northumberland County Council,http://statistics.data.gov.uk/doc/local-authority/35,AGE UK NORTHUMBERLAND,5283510,21-May-14,Adult Social Care ,  Older PDI West - PWLTP - Two,306413,3360  ,Homecare,919.61,Expense
Northumberland County Council,http://statistics.data.gov.uk/doc/local-authority/35,AGE UK NORTHUMBERLAND,5283510,21-May-14,Adult Social Care ,  Older MH West - PWMH1,306414,3360  ,Homecare,436.11,Expense
Northumberland County Council,http://statistics.data.gov.uk/doc/local-authority/35,AGE UK NORTHUMBERLAND,5283510,21-May-14,Adult Social Care,  CHC Packages,306420,3360  ,Homecare,"10,819.24",Expense
Northumberland County Council,http://statistics.data.gov.uk/doc/local-authority/35,AGE UK NORTHUMBERLAND,5290643,27-May-14,Adult Social Care ,  LD North - LN1A1,306152,3361  ,Day Care,82,Expense
Northumberland County Council,http://statistics.data.gov.uk/doc/local-authority/35,AGE UK NORTHUMBERLAND,5290643,27-May-14,Adult Social Care ,  Older PDI Central - PCLB1 - Two,306401,3361  ,Day Care,"1,066.00",Expense
Northumberland County Council,http://statistics.data.gov.uk/doc/local-authority/35,AGE UK NORTHUMBERLAND,5290643,27-May-14,Adult Social Care ,  Older MH Central - PCMM1- Two,306404,3361  ,Day Care,102.5,Expense
Northumberland County Council,http://statistics.data.gov.uk/doc/local-authority/35,AGE UK NORTHUMBERLAND,5290643,27-May-14,Adult Social Care ,  Older Pdi North - PNLTA,306405,3361  ,Day Care,"1,558.00",Expense
